,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
31,Acinetobacter~phage~phiAB6,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
32,Acinetobacter~phage~phiAC-1,Caudovirales,Myoviridae,Ap22virus,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
33,Acinetobacter~phage~vB_AbaM_Acibel004,Caudovirales,Myoviridae,Unassigned,77_0,Clustered,2,VC_77_0,2,0.1519,0.95535907,0.1451,1,1,1,1.0
34,Acinetobacter~phage~vB_AbaM_phiAbaA1,Caudovirales,Myoviridae,Unassigned,77_0,Clustered,2,VC_77_0,2,0.1519,0.95535907,0.1451,1,1,1,1.0
35,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
36,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
37,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
38,Acinetobacter~phage~vB_AbaS_TRS1,Caudovirales,Siphoviridae,Unassigned,71_0,Clustered,3,VC_71_0,3,0.2707,0.91730355,0.2483,1,2,2,1.0
39,Acinetobacter~virus~133,Caudovirales,Myoviridae,Unassigned,59_19,Clustered,2,VC_59_19,2,0.0077,0.95636413,0.0074,1,1,1,1.0
40,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
41,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
42,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,59_0,Clustered,3,VC_59_0,3,0.0212,0.99860068,0.0212,1,1,1,1.0
43,Aeromonas~phage~pAh6-C,Caudovirales,Myoviridae,Unassigned,95_0,Clustered,6,VC_95_0,6,0.8742,1.0,0.8742,1,2,2,1.0
44,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
45,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,59_0,Clustered,3,VC_59_0,3,0.0212,0.99860068,0.0212,1,1,1,1.0
46,Aeromonas~phage~phiAS7,Caudovirales,Podoviridae,Unassigned,35_0,Clustered,5,VC_35_0,5,0.2207,0.99999997,0.2207,1,1,1,1.0
47,Aeromonas~phage~vB_AsaM-56,Caudovirales,Myoviridae,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
48,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
49,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,59_13,Clustered,2,VC_59_13,2,0.0084,0.95345565,0.008,2,1,1,1.0
50,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,59_13,Clustered,2,VC_59_13,2,0.0084,0.95345565,0.008,2,1,1,1.0
51,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,59_0,Clustered,3,VC_59_0,3,0.0212,0.99860068,0.0212,1,1,1,1.0
52,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,98_0,Clustered,7,VC_98_0,7,0.6161,1.0,0.6161,1,1,1,1.0
53,Aggregatibacter~phage~S1249,Caudovirales,Myoviridae,Unassigned,4_0,Clustered,2,VC_4_0,2,0.3773,0.95048795,0.3587,1,1,1,1.0
54,Anabaena~phage~A-4L,Caudovirales,Podoviridae,Unassigned,107_0,Clustered,4,VC_107_0,4,1.0,1.0,1.0,1,1,1,1.0
55,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,108_0,Clustered,2,VC_108_0,2,0.8354,0.72985431,0.6098,1,2,2,1.0
56,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Marthavirus,109_0,Clustered,2,VC_109_0,2,0.914,0.5,0.457,2,1,1,1.0
57,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,111_0,Clustered,2,VC_111_0,2,1.0,1.0,1.0,1,1,1,1.0
58,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,111_0,Clustered,2,VC_111_0,2,1.0,1.0,1.0,1,1,1,1.0
59,Arthrobacter~phage~Mudcat,Caudovirales,Siphoviridae,Mudcatvirus,112_1,Clustered,5,VC_112_1,5,0.2294,0.99536464,0.2283,2,2,2,1.0
60,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arv1virus,109_0,Clustered,2,VC_109_0,2,0.914,0.5,0.457,2,1,1,1.0
61,Azospirillum~phage~Cd,Caudovirales,Siphoviridae,Unassigned,123_0,Clustered,2,VC_123_0,2,0.056,0.76001489,0.0426,1,2,2,1.0
62,BP10_NODE_1047_length_721_cov_0_283333,Unassigned,Unassigned,Unassigned,126_0,Clustered,4,VC_126_0,4,0.5091,0.6444873,0.3281,1,1,1,1.0
63,BP10_NODE_10_length_11747_cov_2_158782,Unassigned,Unassigned,Unassigned,127_0,Clustered,2,VC_127_0,2,0.5545,0.81445332,0.4516,1,1,1,1.0
64,BP10_NODE_112_length_3003_cov_2_693269,Unassigned,Unassigned,Unassigned,128_0,Clustered,2,VC_128_0,2,1.0,1.0,1.0,1,1,1,1.0
65,BP10_NODE_123_length_2866_cov_1_435701,Unassigned,Unassigned,Unassigned,123_0,Clustered,2,VC_123_0,2,0.056,0.76001489,0.0426,1,2,2,1.0
66,BP10_NODE_131_length_2763_cov_1_689251,Unassigned,Unassigned,Unassigned,129_0,Clustered,2,VC_129_0,2,0.3756,0.72985431,0.2742,1,1,1,1.0
67,BP10_NODE_13_length_11265_cov_2_914034,Unassigned,Unassigned,Unassigned,131_0,Clustered,2,VC_131_0,2,0.8991,0.5,0.4495,1,1,1,1.0
68,BP10_NODE_144_length_2624_cov_0_505394,Unassigned,Unassigned,Unassigned,132_0,Clustered,2,VC_132_0,2,0.6604,0.72985431,0.482,1,1,1,1.0
69,BP10_NODE_15_length_10999_cov_3_671539,Unassigned,Unassigned,Unassigned,134_0,Clustered,2,VC_134_0,2,1.0,1.0,1.0,1,1,1,1.0
70,BP10_NODE_167_length_2337_cov_1_171480,Unassigned,Unassigned,Unassigned,135_0,Clustered,5,VC_135_0,5,0.3174,0.585412,0.1858,1,1,1,1.0
71,BP10_NODE_19_length_9985_cov_1_363341,Unassigned,Unassigned,Unassigned,144_0,Clustered,2,VC_144_0,2,1.0,1.0,1.0,1,1,1,1.0
72,BP10_NODE_206_length_1967_cov_1_039003,Unassigned,Unassigned,Unassigned,154_0,Clustered,7,VC_154_0,7,0.1902,0.74027862,0.1408,1,1,1,1.0
73,BP10_NODE_220_length_1866_cov_0_394269,Unassigned,Unassigned,Unassigned,157_0,Clustered,3,VC_157_0,3,0.9314,0.81445332,0.7586,1,1,1,1.0
74,BP10_NODE_222_length_1855_cov_1_661476,Unassigned,Unassigned,Unassigned,158_0,Clustered,3,VC_158_0,3,1.0,0.0,0.0,1,1,1,1.0
75,BP10_NODE_23_length_8719_cov_2_107932,Unassigned,Unassigned,Unassigned,159_0,Clustered,2,VC_159_0,2,1.0,1.0,1.0,1,1,1,1.0
76,BP10_NODE_271_length_1640_cov_0_830151,Unassigned,Unassigned,Unassigned,161_0,Clustered,2,VC_161_0,2,0.251,0.72985431,0.1832,1,1,1,1.0
77,BP10_NODE_278_length_1601_cov_0_325676,Unassigned,Unassigned,Unassigned,162_0,Clustered,2,VC_162_0,2,1.0,1.0,1.0,1,1,1,1.0
78,BP10_NODE_28_length_7743_cov_1_824849,Unassigned,Unassigned,Unassigned,163_0,Clustered,2,VC_163_0,2,0.256,0.5,0.128,1,1,1,1.0
79,BP10_NODE_29_length_7682_cov_1_930829,Unassigned,Unassigned,Unassigned,164_0,Clustered,2,VC_164_0,2,0.691,0.5,0.3455,1,1,1,1.0
80,BP10_NODE_2_length_40087_cov_5_014687,Unassigned,Unassigned,Unassigned,167_0,Clustered,2,VC_167_0,2,0.1547,0.95472095,0.1477,1,1,1,1.0
81,BP10_NODE_41_length_6714_cov_2_134688,Unassigned,Unassigned,Unassigned,130_0,Clustered,4,VC_130_0,4,0.0204,0.90963178,0.0186,1,1,1,1.0
82,BP10_NODE_42_length_6707_cov_2_738081,Unassigned,Unassigned,Unassigned,156_0,Clustered,3,VC_156_0,3,0.6689,0.93940836,0.6284,1,1,1,1.0
83,BP10_NODE_443_length_1176_cov_0_514692,Unassigned,Unassigned,Unassigned,185_0,Clustered,2,VC_185_0,2,1.0,1.0,1.0,1,1,1,1.0
84,BP10_NODE_45_length_6208_cov_1_436340,Unassigned,Unassigned,Unassigned,186_0,Clustered,2,VC_186_0,2,1.0,1.0,1.0,1,1,1,1.0
85,BP10_NODE_47_length_6020_cov_2_065774,Unassigned,Unassigned,Unassigned,184_0,Clustered,2,VC_184_0,2,0.2588,0.5,0.1294,1,1,1,1.0
86,BP10_NODE_49_length_5857_cov_2_978208,Unassigned,Unassigned,Unassigned,135_0,Clustered,5,VC_135_0,5,0.3174,0.585412,0.1858,1,1,1,1.0
87,BP10_NODE_4_length_15037_cov_3_015353,Unassigned,Unassigned,Unassigned,187_0,Clustered,3,VC_187_0,3,1.0,1.0,1.0,1,1,1,1.0
88,BP10_NODE_59_length_5021_cov_1_584490,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
89,BP10_NODE_62_length_4689_cov_0_908275,Unassigned,Unassigned,Unassigned,191_0,Clustered,4,VC_191_0,4,0.7889,0.81445332,0.6425,1,1,1,1.0
90,BP10_NODE_65_length_4497_cov_1_284735,Unassigned,Unassigned,Unassigned,192_0,Clustered,5,VC_192_0,5,0.1169,0.99633119,0.1164,1,1,1,1.0
91,BP10_NODE_67_length_4346_cov_3_144379,Unassigned,Unassigned,Unassigned,51_0,Clustered,3,VC_51_0,3,0.0619,0.70299675,0.0435,1,1,1,1.0
92,BP10_NODE_69_length_4309_cov_0_454155,Unassigned,Unassigned,Unassigned,171_0,Clustered,3,VC_171_0,3,0.192,0.91454824,0.1756,1,1,1,1.0
93,BP10_NODE_73_length_4203_cov_1_782215,Unassigned,Unassigned,Unassigned,195_0,Clustered,2,VC_195_0,2,0.2393,0.91813282,0.2197,1,1,1,1.0
94,BP10_NODE_82_length_3905_cov_2_049947,Unassigned,Unassigned,Unassigned,199_0,Clustered,2,VC_199_0,2,0.4942,0.5,0.2471,1,1,1,1.0
95,BP10_NODE_88_length_3729_cov_1_147173,Unassigned,Unassigned,Unassigned,200_0,Clustered,3,VC_200_0,3,0.7746,0.96173875,0.745,1,1,1,1.0
96,BP10_NODE_8_length_12499_cov_3_175634,Unassigned,Unassigned,Unassigned,133_0,Clustered,12,VC_133_0,12,0.3846,1.0,0.3846,1,1,1,1.0
97,BP10_NODE_99_length_3369_cov_0_686884,Unassigned,Unassigned,Unassigned,203_0,Clustered,3,VC_203_0,3,0.267,0.98252311,0.2623,1,1,1,1.0
98,BP12_NODE_11_length_4973_cov_1_581204,Unassigned,Unassigned,Unassigned,204_0,Clustered,4,VC_204_0,4,0.4063,0.89577513,0.3639,1,1,1,1.0
99,BP12_NODE_12_length_4871_cov_5_243789,Unassigned,Unassigned,Unassigned,206_0,Clustered,4,VC_206_0,4,0.2108,0.99679019,0.2101,1,1,1,1.0
100,BP12_NODE_13_length_4753_cov_1_700561,Unassigned,Unassigned,Unassigned,114_0,Clustered,3,VC_114_0,3,0.5518,0.94989524,0.5242,1,1,1,1.0
101,BP12_NODE_1_length_10582_cov_4_477010,Unassigned,Unassigned,Unassigned,90_0,Clustered,5,VC_90_0,5,0.448,0.99973695,0.4478,1,1,1,1.0
102,BP12_NODE_24_length_3444_cov_1_337647,Unassigned,Unassigned,Unassigned,90_0,Clustered,5,VC_90_0,5,0.448,0.99973695,0.4478,1,1,1,1.0
103,BP12_NODE_5_length_7588_cov_4_160707,Unassigned,Unassigned,Unassigned,204_0,Clustered,4,VC_204_0,4,0.4063,0.89577513,0.3639,1,1,1,1.0
104,BP17_NODE_20_length_2310_cov_1_253084,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
105,BP17_NODE_6_length_4671_cov_2_184615,Unassigned,Unassigned,Unassigned,214_0,Clustered,3,VC_214_0,3,0.1714,0.9374283,0.1606,1,1,1,1.0
106,BP17_NODE_90_length_993_cov_3_506881,Unassigned,Unassigned,Unassigned,218_0,Clustered,2,VC_218_0,2,0.1848,0.5,0.0924,1,1,1,1.0
107,BP17_NODE_9_length_3609_cov_8_337156,Unassigned,Unassigned,Unassigned,206_0,Clustered,4,VC_206_0,4,0.2108,0.99679019,0.2101,1,1,1,1.0
108,BP18_NODE_119_length_1064_cov_0_559915,Unassigned,Unassigned,Unassigned,219_0,Clustered,3,VC_219_0,3,1.0,0.0,0.0,1,1,1,1.0
109,BP18_NODE_120_length_1057_cov_0_500000,Unassigned,Unassigned,Unassigned,220_0,Clustered,2,VC_220_0,2,1.0,1.0,1.0,1,1,1,1.0
110,BP18_NODE_1_length_32522_cov_11_534304,Unassigned,Unassigned,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
111,BP18_NODE_218_length_750_cov_0_540541,Unassigned,Unassigned,Unassigned,224_0,Clustered,2,VC_224_0,2,1.0,1.0,1.0,1,1,1,1.0
112,BP18_NODE_223_length_740_cov_0_809370,Unassigned,Unassigned,Unassigned,225_0,Clustered,2,VC_225_0,2,1.0,1.0,1.0,1,1,1,1.0
113,BP18_NODE_306_length_619_cov_0_586345,Unassigned,Unassigned,Unassigned,226_0,Clustered,2,VC_226_0,2,1.0,1.0,1.0,1,1,1,1.0
114,BP18_NODE_309_length_616_cov_0_200000,Unassigned,Unassigned,Unassigned,227_0,Clustered,2,VC_227_0,2,0.0784,0.91877225,0.072,1,1,1,1.0
115,BP18_NODE_48_length_1657_cov_0_634766,Unassigned,Unassigned,Unassigned,230_0,Clustered,2,VC_230_0,2,0.0437,0.60518978,0.0265,1,1,1,1.0
116,BP18_NODE_7_length_3111_cov_0_847492,Unassigned,Unassigned,Unassigned,75_0,Clustered,4,VC_75_0,4,0.254,0.86975355,0.2209,2,2,2,1.0
117,BP19_NODE_101_length_2117_cov_1_475451,Unassigned,Unassigned,Unassigned,232_0,Clustered,2,VC_232_0,2,1.0,1.0,1.0,1,1,1,1.0
118,BP19_NODE_11_length_7474_cov_3_916769,Unassigned,Unassigned,Unassigned,156_0,Clustered,3,VC_156_0,3,0.6689,0.93940836,0.6284,1,1,1,1.0
119,BP19_NODE_135_length_1814_cov_3_174838,Unassigned,Unassigned,Unassigned,129_0,Clustered,2,VC_129_0,2,0.3756,0.72985431,0.2742,1,1,1,1.0
120,BP19_NODE_13_length_7035_cov_5_410761,Unassigned,Unassigned,Unassigned,234_0,Clustered,2,VC_234_0,2,0.0133,0.95659457,0.0128,1,1,1,1.0
121,BP19_NODE_14_length_6852_cov_6_607636,Unassigned,Unassigned,Unassigned,235_0,Clustered,3,VC_235_0,3,0.3272,0.80863346,0.2646,1,1,1,1.0
122,BP19_NODE_15_length_6491_cov_3_613030,Unassigned,Unassigned,Unassigned,237_0,Clustered,3,VC_237_0,3,0.7836,0.87736094,0.6875,1,1,1,1.0
123,BP19_NODE_19_length_5562_cov_4_698585,Unassigned,Unassigned,Unassigned,164_0,Clustered,2,VC_164_0,2,0.691,0.5,0.3455,1,1,1,1.0
124,BP19_NODE_283_length_1196_cov_3_698605,Unassigned,Unassigned,Unassigned,241_0,Clustered,2,VC_241_0,2,1.0,1.0,1.0,1,1,1,1.0
125,BP19_NODE_32_length_3809_cov_5_038503,Unassigned,Unassigned,Unassigned,187_0,Clustered,3,VC_187_0,3,1.0,1.0,1.0,1,1,1,1.0
126,BP19_NODE_36_length_3642_cov_9_804885,Unassigned,Unassigned,Unassigned,243_0,Clustered,4,VC_243_0,4,0.6349,0.77222745,0.4903,1,1,1,1.0
127,BP19_NODE_3_length_17422_cov_18_925264,Unassigned,Unassigned,Unassigned,207_0,Clustered,6,VC_207_0,6,0.271,0.99998418,0.271,2,2,2,1.0
128,BP19_NODE_4_length_14639_cov_6_739634,Unassigned,Unassigned,Unassigned,244_0,Clustered,4,VC_244_0,4,0.7324,0.9993122,0.7319,1,1,1,1.0
129,BP19_NODE_50_length_3257_cov_1_054528,Unassigned,Unassigned,Unassigned,247_0,Clustered,2,VC_247_0,2,1.0,1.0,1.0,1,1,1,1.0
130,BP19_NODE_5_length_13033_cov_6_983581,Unassigned,Unassigned,Unassigned,131_0,Clustered,2,VC_131_0,2,0.8991,0.5,0.4495,1,1,1,1.0
131,BP19_NODE_66_length_2866_cov_3_111475,Unassigned,Unassigned,Unassigned,187_0,Clustered,3,VC_187_0,3,1.0,1.0,1.0,1,1,1,1.0
132,BP19_NODE_6_length_12229_cov_13_883961,Unassigned,Unassigned,Unassigned,249_0,Clustered,2,VC_249_0,2,1.0,1.0,1.0,1,1,1,1.0
133,BP19_NODE_7_length_11792_cov_3_579985,Unassigned,Unassigned,Unassigned,130_0,Clustered,4,VC_130_0,4,0.0204,0.90963178,0.0186,1,1,1,1.0
134,BP19_NODE_85_length_2421_cov_1_194783,Unassigned,Unassigned,Unassigned,250_0,Clustered,2,VC_250_0,2,0.3697,0.72985431,0.2698,1,1,1,1.0
135,BP19_NODE_8_length_11484_cov_2_892898,Unassigned,Unassigned,Unassigned,252_0,Clustered,4,VC_252_0,4,0.144,0.99337641,0.1431,1,2,2,1.0
136,BP1_NODE_37_length_2578_cov_0_557184,Unassigned,Unassigned,Unassigned,186_0,Clustered,2,VC_186_0,2,1.0,1.0,1.0,1,1,1,1.0
137,BP1_NODE_39_length_2517_cov_0_671953,Unassigned,Unassigned,Unassigned,265_0,Clustered,3,VC_265_0,3,0.2549,0.77434673,0.1974,1,1,1,1.0
138,BP1_NODE_43_length_2389_cov_3_477954,Unassigned,Unassigned,Unassigned,266_0,Clustered,2,VC_266_0,2,0.1337,0.93306932,0.1248,1,1,1,1.0
139,BP1_NODE_6_length_7016_cov_3_128644,Unassigned,Unassigned,Unassigned,268_0,Clustered,4,VC_268_0,4,0.1861,0.91067297,0.1695,1,1,1,1.0
140,BP1_NODE_8_length_5218_cov_2_280950,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
141,BP23_NODE_10_length_12974_cov_4_874971,Unassigned,Unassigned,Unassigned,270_0,Clustered,4,VC_270_0,4,1.0,1.0,1.0,1,1,1,1.0
142,BP23_NODE_11_length_12964_cov_6_093436,Unassigned,Unassigned,Unassigned,213_0,Clustered,11,VC_213_0,11,0.4619,1.0,0.4619,1,2,2,1.0
143,BP23_NODE_124_length_2098_cov_3_839656,Unassigned,Unassigned,Unassigned,274_0,Clustered,5,VC_274_0,5,0.3956,0.99319171,0.3929,1,1,1,1.0
144,BP23_NODE_1325_length_519_cov_0_160804,Unassigned,Unassigned,Unassigned,276_0,Clustered,9,VC_276_0,9,1.0,1.0,1.0,1,1,1,1.0
145,BP23_NODE_133_length_1998_cov_5_282365,Unassigned,Unassigned,Unassigned,194_0,Clustered,4,VC_194_0,4,0.3953,0.95310522,0.3768,1,1,1,1.0
146,BP23_NODE_182_length_1576_cov_0_826117,Unassigned,Unassigned,Unassigned,280_0,Clustered,2,VC_280_0,2,1.0,1.0,1.0,1,1,1,1.0
147,BP23_NODE_19_length_8425_cov_4_798892,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
148,BP23_NODE_20_length_8375_cov_11_405864,Unassigned,Unassigned,Unassigned,281_0,Clustered,5,VC_281_0,5,0.2234,0.99929366,0.2233,1,1,1,1.0
149,BP23_NODE_236_length_1321_cov_0_336667,Unassigned,Unassigned,Unassigned,286_0,Clustered,3,VC_286_0,3,1.0,0.0,0.0,1,1,1,1.0
150,BP23_NODE_23_length_6376_cov_4_584333,Unassigned,Unassigned,Unassigned,175_0,Clustered,2,VC_175_0,2,0.8315,0.5,0.4157,1,1,1,1.0
151,BP23_NODE_27_length_5842_cov_1_403076,Unassigned,Unassigned,Unassigned,277_0,Clustered,2,VC_277_0,2,0.0866,0.66832249,0.0579,1,1,1,1.0
152,BP23_NODE_29_length_5407_cov_1_805524,Unassigned,Unassigned,Unassigned,100_0,Clustered,4,VC_100_0,4,0.4045,0.99934188,0.4042,1,1,1,1.0
153,BP23_NODE_2_length_42653_cov_45_250447,Unassigned,Unassigned,Unassigned,188_0,Clustered,7,VC_188_0,7,0.3528,1.0,0.3528,1,3,2,0.9048
154,BP23_NODE_30_length_5295_cov_3_328759,Unassigned,Unassigned,Unassigned,50_0,Clustered,5,VC_50_0,5,0.1352,0.99360678,0.1343,1,1,1,1.0
155,BP23_NODE_33_length_4756_cov_4_111327,Unassigned,Unassigned,Unassigned,194_0,Clustered,4,VC_194_0,4,0.3953,0.95310522,0.3768,1,1,1,1.0
156,BP23_NODE_348_length_1045_cov_0_321429,Unassigned,Unassigned,Unassigned,286_0,Clustered,3,VC_286_0,3,1.0,0.0,0.0,1,1,1,1.0
157,BP23_NODE_386_length_994_cov_0_592211,Unassigned,Unassigned,Unassigned,299_0,Clustered,2,VC_299_0,2,1.0,1.0,1.0,1,1,1,1.0
