,Length,LogLength,Numgene,numVOG,numVOG3,pVOG/ORF,VQ3,ID,const,Virusness
BP10_NODE_171_length_2299_cov_0_713958,2299,3.361538971269279,3,2,3,0.67,1.0,Virsort,Lin,0.31006098320000003
BP10_NODE_1764_length_588_cov_0_169165,588,2.7693773260761385,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_17_length_10491_cov_2_817936,10491,4.020816887028907,15,9,11,0.6,0.73,Virsort,Lin,0.71413717844
BP10_NODE_181_length_2173_cov_0_774366,2173,3.3370597263205246,4,2,2,0.5,0.5,Virsort,Lin,0.1751869855
BP10_NODE_184_length_2151_cov_0_353202,2151,3.3326404103874627,5,1,2,0.2,0.4,Virsort,Lin,0.7647735112
BP10_NODE_1885_length_574_cov_0_439294,574,2.7589118923979736,2,0,1,0.0,0.5,Diamond,Lin,0.0
BP10_NODE_1902_length_572_cov_0_330377,572,2.7573960287930244,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_1915_length_571_cov_0_255556,571,2.756636108245848,1,1,1,1.0,1.0,Diamond,Lin,0.8217510444
BP10_NODE_1952_length_567_cov_0_562780,567,2.7535830588929064,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_1979_length_565_cov_0_168919,565,2.7520484478194387,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_19_length_9985_cov_1_363341,9985,3.9993480692067216,5,4,4,0.8,0.8,Virsort,Lin,1.0
BP10_NODE_1_length_45341_cov_25_339474,45341,4.656491094301585,70,35,40,0.5,0.57,Virsort,Lin,0.6373836522640001
BP10_NODE_2041_length_559_cov_0_442922,559,2.747411807886423,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_206_length_1967_cov_1_039003,1967,3.2938043599193367,7,0,1,0.0,0.14,Virsort,Lin,0.0
BP10_NODE_209_length_1946_cov_1_866849,1946,3.289142835932333,4,1,3,0.25,0.75,Diamond,Lin,1.0
BP10_NODE_20_length_9896_cov_2_133197,9896,3.9954596866210643,11,6,6,0.55,0.55,Virsort,Lin,0.5720342879
BP10_NODE_210_length_1938_cov_0_323610,1938,3.2873537727147464,3,2,2,0.67,0.67,Virsort,Lin,0.1847715373
BP10_NODE_2118_length_553_cov_0_148148,553,2.7427251313046983,2,2,2,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_211_length_1935_cov_1_147740,1935,3.28668096935493,5,2,2,0.4,0.4,Virsort,Lin,0.4083578397
BP10_NODE_215_length_1888_cov_0_293152,1888,3.27600198996205,3,0,0,0.0,0.0,Virsort,Lin,0.0
BP10_NODE_2160_length_548_cov_0_934426,548,2.738780558484369,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_21_length_9458_cov_1_370462,9458,3.9757993096794073,10,3,3,0.3,0.3,Virsort,Lin,0.6675030677999999
BP10_NODE_220_length_1866_cov_0_394269,1866,3.270911639410481,4,1,1,0.25,0.25,Diamond,Lin,0.6263653484
BP10_NODE_222_length_1855_cov_1_661476,1855,3.268343913951065,2,1,2,0.5,1.0,Diamond,Lin,1.0
BP10_NODE_228_length_1837_cov_0_405012,1837,3.2641091563058082,3,2,2,0.67,0.67,Virsort,Lin,0.6915674638
BP10_NODE_230_length_1802_cov_1_218322,1802,3.255754786643044,5,1,3,0.2,0.6,Virsort,Lin,0.3630491454
BP10_NODE_2346_length_536_cov_0_255422,536,2.72916478969277,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_238_length_1758_cov_0_262676,1758,3.245018870737753,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_23_length_8719_cov_2_107932,8719,3.940466677663529,12,4,4,0.33,0.33,Diamond,Lin,0.15154158823333333
BP10_NODE_2463_length_528_cov_0_230958,528,2.722633922533812,1,1,1,1.0,1.0,Diamond,Lin,0.8391119441
BP10_NODE_25_length_7921_cov_2_524103,7921,3.8987800132898256,9,5,5,0.56,0.56,Virsort,Lin,0.54776041288
BP10_NODE_2651_length_516_cov_0_205063,516,2.7126497016272113,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_2684_length_514_cov_0_297710,514,2.710963118995276,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_271_length_1640_cov_0_830151,1640,3.214843848047698,5,3,3,0.6,0.6,Virsort,Lin,0.75713843935
BP10_NODE_2720_length_512_cov_0_235294,512,2.709269960975831,1,1,1,1.0,1.0,Diamond,Lin,0.99126158
BP10_NODE_273_length_1629_cov_1_642573,1629,3.2119210843085093,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_278_length_1601_cov_0_325676,1601,3.2043913319193,2,1,1,0.5,0.5,Diamond,Lin,0.0
BP10_NODE_286_length_1543_cov_0_469058,1543,3.188365926063148,3,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_28_length_7743_cov_1_824849,7743,3.8889092592635315,16,7,9,0.44,0.56,Virsort,Lin,0.50407539392
BP10_NODE_2942_length_501_cov_0_155263,501,2.699837725867246,1,0,1,0.0,1.0,Diamond,Lin,0.0
BP10_NODE_29_length_7682_cov_1_930829,7682,3.885474302829157,5,2,4,0.4,0.8,Diamond,Lin,1.0
BP10_NODE_2_length_40087_cov_5_014687,40087,4.603003556071011,61,31,33,0.51,0.54,Virsort,Lin,0.7329622819260869
BP10_NODE_307_length_1471_cov_1_580000,1471,3.16761267272753,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP10_NODE_308_length_1469_cov_0_245549,1469,3.1670217957902564,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP10_NODE_348_length_1348_cov_0_163814,1348,3.129689892199301,2,2,2,1.0,1.0,Diamond,Lin,0.41022655375000006
BP10_NODE_373_length_1294_cov_0_387042,1294,3.1119342763326814,4,3,3,0.75,0.75,Virsort,Lin,0.38268577439999996
BP10_NODE_37_length_7197_cov_2_076738,7197,3.857151502687493,9,5,6,0.56,0.67,Virsort,Lin,0.8146164674333333
BP10_NODE_3_length_16289_cov_6_798924,16289,4.211894423300987,22,7,10,0.32,0.45,Virsort,Lin,0.8594648819599999
BP10_NODE_41_length_6714_cov_2_134688,6714,3.826981336911994,8,7,7,0.88,0.88,Virsort,Lin,0.9981711926
BP10_NODE_42_length_6707_cov_2_738081,6707,3.8265283063406517,11,3,3,0.27,0.27,Virsort,Lin,0.8677475357
BP10_NODE_431_length_1195_cov_0_275605,1195,3.0773679052841567,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_443_length_1176_cov_0_514692,1176,3.0704073217401198,2,1,1,0.5,0.5,Diamond,Lin,0.9679234301
BP10_NODE_455_length_1156_cov_0_183575,1156,3.0629578340845103,1,1,1,1.0,1.0,Diamond,Lin,0.2567714889
BP10_NODE_45_length_6208_cov_1_436340,6208,3.792951708250132,10,8,8,0.8,0.8,Virsort,Lin,0.69855409368
BP10_NODE_468_length_1130_cov_0_294351,1130,3.05307844348342,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_47_length_6020_cov_2_065774,6020,3.7795964912578244,11,1,4,0.09,0.36,Virsort,Lin,1.0
BP10_NODE_48_length_5865_cov_2_167305,5865,3.768268016451548,6,3,3,0.5,0.5,Virsort,Lin,0.9024909923666667
BP10_NODE_49_length_5857_cov_2_978208,5857,3.76767522402796,8,6,6,0.75,0.75,Virsort,Lin,0.5425867828
BP10_NODE_4_length_15037_cov_3_015353,15037,4.177161199726047,18,2,2,0.11,0.11,Virsort,Lin,1.0
BP10_NODE_52_length_5544_cov_3_061958,5544,3.7438232216037504,8,1,1,0.12,0.12,Virsort,Lin,0.089979882
BP10_NODE_531_length_1050_cov_0_375673,1050,3.0211892990699383,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_53_length_5530_cov_0_858754,5530,3.7427251313046983,3,3,3,1.0,1.0,Diamond,Lin,1.0
BP10_NODE_58_length_5211_cov_1_575639,5211,3.7169210731667612,6,5,5,0.83,0.83,Virsort,Lin,0.7351317181333333
BP10_NODE_59_length_5021_cov_1_584490,5021,3.700790221374347,9,5,6,0.56,0.67,Virsort,Lin,0.8105007687600001
BP10_NODE_5_length_15008_cov_1_810103,15008,4.176322821034989,15,8,11,0.53,0.73,Virsort,Lin,0.791644566175
BP10_NODE_62_length_4689_cov_0_908275,4689,3.6710802327388494,10,4,4,0.4,0.4,Virsort,Lin,0.83806528715
BP10_NODE_63_length_4616_cov_2_633370,4616,3.664265800147675,8,8,8,1.0,1.0,Virsort,Lin,0.69094620326
BP10_NODE_64_length_4605_cov_1_028546,4605,3.663229634532868,6,1,1,0.17,0.17,Diamond,Lin,0.0
BP10_NODE_65_length_4497_cov_1_284735,4497,3.652922887567942,7,6,6,0.86,0.86,Virsort,Lin,0.0
BP10_NODE_665_length_934_cov_0_378844,934,2.9703468762300935,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP10_NODE_67_length_4346_cov_3_144379,4346,3.638089721984506,5,4,5,0.8,1.0,Virsort,Lin,0.6496253467666667
BP10_NODE_69_length_4309_cov_0_454155,4309,3.6343764940883676,10,3,3,0.3,0.3,Virsort,Lin,0.5150398901
BP10_NODE_73_length_4203_cov_1_782215,4203,3.623559390005437,9,4,6,0.44,0.67,Virsort,Lin,0.28893789095
BP10_NODE_77_length_3986_cov_1_271928,3986,3.600537294364469,10,3,3,0.3,0.3,Virsort,Lin,0.43400321750000004
BP10_NODE_7_length_14846_cov_29_379151,14846,4.171609456216666,20,9,11,0.45,0.55,Virsort,Lin,0.6834801143
BP10_NODE_82_length_3905_cov_2_049947,3905,3.591621038213319,2,1,1,0.5,0.5,Diamond,Lin,0.0
BP10_NODE_83_length_3885_cov_1_674283,3885,3.5893910231369333,11,1,1,0.09,0.09,Virsort,Lin,0.30081987120000003
BP10_NODE_842_length_802_cov_0_240822,802,2.9041743682841634,1,1,1,1.0,1.0,Diamond,Lin,0.4026202479
BP10_NODE_84_length_3848_cov_2_056077,3848,3.5852350633657752,7,1,3,0.14,0.43,Virsort,Lin,0.089979882
BP10_NODE_88_length_3729_cov_1_147173,3729,3.571592383361307,4,3,3,0.75,0.75,Virsort,Lin,0.9749254335
BP10_NODE_8_length_12499_cov_3_175634,12499,4.096875268059688,16,9,10,0.56,0.62,Virsort,Lin,0.7459532554999999
BP10_NODE_95_length_3455_cov_0_774145,3455,3.5384480517102173,7,4,4,0.57,0.57,Virsort,Lin,0.7171253767500001
BP10_NODE_99_length_3369_cov_0_686884,3369,3.52750101098112,9,4,6,0.44,0.67,Virsort,Lin,0.7478017079666667
BP10_NODE_9_length_11931_cov_2_042083,11931,4.076676845705642,27,5,6,0.19,0.22,Virsort,Lin,0.66466354355
BP12_NODE_11_length_4973_cov_1_581204,4973,3.696618459232225,7,3,3,0.43,0.43,Virsort,Lin,0.9642332435333333
BP12_NODE_12_length_4871_cov_5_243789,4871,3.68761812957177,7,4,4,0.57,0.57,Virsort,Lin,0.9567416710333333
BP12_NODE_13_length_4753_cov_1_700561,4753,3.6769678142947586,10,3,3,0.3,0.3,Virsort,Lin,0.52033400545
BP12_NODE_16_length_4233_cov_1_649805,4233,3.6266482684740105,11,4,4,0.36,0.36,Virsort,Lin,0.67177880135
BP12_NODE_1_length_10582_cov_4_477010,10582,4.024567757196038,11,4,4,0.36,0.36,Virsort,Lin,1.0
BP12_NODE_24_length_3444_cov_1_337647,3444,3.537063142781617,6,3,3,0.5,0.5,Virsort,Lin,1.0
BP12_NODE_261_length_654_cov_0_448405,654,2.815577748324267,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP12_NODE_276_length_624_cov_0_423459,624,2.795184589682424,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP12_NODE_35_length_2818_cov_3_725621,2818,3.4499409887733377,5,2,3,0.4,0.6,Virsort,Lin,1.0
BP12_NODE_55_length_2087_cov_0_668871,2087,3.3195224490654542,4,1,1,0.25,0.25,Virsort,Lin,0.6633584378
BP12_NODE_58_length_1955_cov_0_960742,1955,3.2911467617318855,3,2,2,0.67,0.67,Diamond,Lin,1.0
BP12_NODE_5_length_7588_cov_4_160707,7588,3.880127322216625,12,3,3,0.25,0.25,Virsort,Lin,0.9642332435333333
BP12_NODE_60_length_1894_cov_0_973491,1894,3.2773799746672547,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP12_NODE_67_length_1789_cov_0_651679,1789,3.252610340567373,3,0,0,0.0,0.0,Virsort,Lin,0.0
BP12_NODE_8_length_6853_cov_2_163250,6853,3.8358807318173946,11,4,5,0.36,0.45,Virsort,Lin,0.9359829632000001
BP17_NODE_12_length_2881_cov_1_331159,2881,3.459543258280413,5,5,5,1.0,1.0,Virsort,Lin,0.7736205178666666
BP17_NODE_166_length_666_cov_0_196330,666,2.823474229170301,1,1,1,1.0,1.0,Diamond,Lin,0.9247763004999999
BP17_NODE_20_length_2310_cov_1_253084,2310,3.3636119798921444,7,2,3,0.29,0.43,Virsort,Lin,0.8934123459500001
BP17_NODE_21_length_2309_cov_1_372943,2309,3.3634239329171765,6,2,2,0.33,0.33,Virsort,Lin,0.1002188415
BP17_NODE_23_length_2222_cov_0_547834,2222,3.346744054604849,4,3,3,0.75,0.75,Virsort,Lin,0.15010717575
BP17_NODE_63_length_1298_cov_0_903993,1298,3.1132746924643504,3,3,3,1.0,1.0,Virsort,Lin,0.28498219846666667
BP17_NODE_6_length_4671_cov_2_184615,4671,3.669409867287783,4,4,4,1.0,1.0,Virsort,Lin,0.6633584378
BP17_NODE_7_length_3790_cov_4_110657,3790,3.578639209968072,5,2,2,0.4,0.4,Virsort,Lin,0.96238815025
BP17_NODE_90_length_993_cov_3_506881,993,2.996949248495381,2,2,2,1.0,1.0,Diamond,Lin,1.0
BP17_NODE_9_length_3609_cov_8_337156,3609,3.5573868820595074,4,3,3,0.75,0.75,Virsort,Lin,0.9567416710333333
BP18_NODE_102_length_1153_cov_0_380814,1153,3.061829307294699,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP18_NODE_106_length_1127_cov_0_813121,1127,3.0519239160461065,1,1,1,1.0,1.0,Diamond,Lin,0.9864725736
BP18_NODE_119_length_1064_cov_0_559915,1064,3.0269416279590295,2,1,1,0.5,0.5,Diamond,Lin,0.8313836063
BP18_NODE_120_length_1057_cov_0_500000,1057,3.024074987307426,2,1,2,0.5,1.0,Diamond,Lin,0.8354126436
BP18_NODE_153_length_898_cov_0_380952,898,2.9532763366673045,1,1,1,1.0,1.0,Diamond,Lin,0.2382817567
BP18_NODE_156_length_890_cov_0_182055,890,2.949390006644913,1,1,1,1.0,1.0,Diamond,Lin,0.2567714889
BP18_NODE_159_length_882_cov_0_470434,882,2.94546858513182,2,1,1,0.5,0.5,Diamond,Lin,0.0
BP18_NODE_162_length_873_cov_0_265957,873,2.9410142437055695,1,1,1,1.0,1.0,Diamond,Lin,0.9864725736
BP18_NODE_165_length_858_cov_1_009498,858,2.9334872878487053,1,1,1,1.0,1.0,Diamond,Lin,0.2748425788
BP18_NODE_180_length_828_cov_0_701556,828,2.9180303367848803,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP18_NODE_181_length_828_cov_0_371994,828,2.9180303367848803,2,1,1,0.5,0.5,Diamond,Lin,0.0
BP18_NODE_182_length_827_cov_0_429178,827,2.9175055095525466,2,2,2,1.0,1.0,Diamond,Lin,0.9829115357
BP18_NODE_185_length_824_cov_0_530583,824,2.9159272116971158,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP18_NODE_192_length_807_cov_0_338192,807,2.90687353472207,2,0,1,0.0,0.5,Diamond,Lin,0.0
BP18_NODE_1_length_32522_cov_11_534304,32522,4.512177245478473,41,29,31,0.71,0.76,Virsort,Lin,0.6087256575699997
BP18_NODE_207_length_771_cov_0_415385,771,2.8870543780509568,1,1,1,1.0,1.0,Diamond,Lin,0.9642969972
BP18_NODE_20_length_2194_cov_0_459238,2194,3.3412366232386925,5,4,5,0.8,1.0,Virsort,Lin,0.9787691681999999
BP18_NODE_212_length_758_cov_0_248038,758,2.8796692056320534,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP18_NODE_215_length_753_cov_0_267405,753,2.8767949762007006,3,1,1,0.33,0.33,Diamond,Lin,1.0
BP18_NODE_217_length_751_cov_0_507937,751,2.8756399370041685,2,1,1,0.5,0.5,Diamond,Lin,0.9835201712
BP18_NODE_218_length_750_cov_0_540541,750,2.8750612633917,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP18_NODE_223_length_740_cov_0_809370,740,2.8692317197309762,2,2,2,1.0,1.0,Diamond,Lin,0.9821484986
BP18_NODE_227_length_732_cov_0_477905,732,2.864511081058392,2,2,2,1.0,1.0,Diamond,Lin,0.54664971105
BP18_NODE_247_length_704_cov_0_581475,704,2.847572659142112,1,1,1,1.0,1.0,Diamond,Lin,0.3190172475
BP18_NODE_298_length_626_cov_0_623762,626,2.7965743332104296,1,0,1,0.0,1.0,Diamond,Lin,0.0
BP18_NODE_306_length_619_cov_0_586345,619,2.791690649020118,2,1,1,0.5,0.5,Diamond,Lin,0.9977540656999999
BP18_NODE_309_length_616_cov_0_200000,616,2.7895807121644256,3,2,2,0.67,0.67,Diamond,Lin,0.9830062217000001
BP18_NODE_353_length_579_cov_0_272926,579,2.762678563727436,2,1,1,0.5,0.5,Diamond,Lin,0.6819588282
BP18_NODE_407_length_523_cov_0_144279,523,2.718501688867274,2,2,2,1.0,1.0,Diamond,Lin,0.6185963059
BP18_NODE_416_length_513_cov_0_219388,513,2.7101173651118162,1,1,1,1.0,1.0,Diamond,Lin,0.9864725736
BP18_NODE_48_length_1657_cov_0_634766,1657,3.219322508419337,5,5,5,1.0,1.0,Virsort,Lin,0.75748952784
BP18_NODE_49_length_1647_cov_0_366972,1647,3.2166935991697545,3,2,2,0.67,0.67,Diamond,Lin,1.0
BP18_NODE_4_length_3733_cov_10_877353,3733,3.5720579899263045,7,2,2,0.29,0.29,Virsort,Lin,0.45988560305000004
BP18_NODE_5_length_3676_cov_8_074262,3676,3.5653755027140734,10,2,2,0.2,0.2,Virsort,Lin,0.5277689622
BP18_NODE_7_length_3111_cov_0_847492,3111,3.4929000111087034,5,4,4,0.8,0.8,Virsort,Lin,0.730141065825
BP18_NODE_80_length_1247_cov_0_697158,1247,3.0958664534785427,4,0,1,0.0,0.25,Diamond,Lin,0.0
BP18_NODE_86_length_1229_cov_0_488267,1229,3.089551882886454,3,2,3,0.67,1.0,Diamond,Lin,1.0
BP18_NODE_90_length_1217_cov_0_502737,1217,3.085290578230065,1,1,1,1.0,1.0,Diamond,Lin,0.9642969972
BP19_NODE_101_length_2117_cov_1_475451,2117,3.325720858019412,3,1,2,0.33,0.67,Virsort,Lin,0.7964014504000001
BP19_NODE_10_length_8711_cov_6_054482,8711,3.9400680137393524,5,4,4,0.8,0.8,Virsort,Lin,1.0
BP19_NODE_118_length_1883_cov_2_528377,1883,3.2748503200166645,4,3,3,0.75,0.75,Virsort,Lin,1.0
BP19_NODE_11_length_7474_cov_3_916769,7474,3.873553093513619,11,6,6,0.55,0.55,Virsort,Lin,0.7289056941
BP19_NODE_135_length_1814_cov_3_174838,1814,3.2586372827240764,3,2,2,0.67,0.67,Diamond,Lin,0.0
BP19_NODE_13_length_7035_cov_5_410761,7035,3.8472641017707643,6,6,6,1.0,1.0,Virsort,Lin,1.0
BP19_NODE_14_length_6852_cov_6_607636,6852,3.835817354293473,7,4,5,0.57,0.71,Virsort,Lin,0.2908865630333333
BP19_NODE_15_length_6491_cov_3_613030,6491,3.8123116091311235,7,5,5,0.71,0.71,Virsort,Lin,1.0
BP19_NODE_16_length_6089_cov_4_880697,6089,3.7845459740545224,8,6,6,0.75,0.75,Virsort,Lin,0.6472706356666666
BP19_NODE_17_length_5884_cov_4_257331,5884,3.7696726640554923,9,7,7,0.78,0.78,Virsort,Lin,0.7580135196000001
BP19_NODE_195_length_1456_cov_0_436704,1456,3.1631613749770184,3,3,3,1.0,1.0,Virsort,Lin,0.7483537021500001
BP19_NODE_19_length_5562_cov_4_698585,5562,3.7452309845281406,3,2,2,0.67,0.67,Diamond,Lin,1.0
BP19_NODE_1_length_107175_cov_15_429755,107175,5.0300934921826705,142,39,44,0.27,0.31,Virsort,Lin,0.65228323285625
BP19_NODE_271_length_1229_cov_0_359206,1229,3.089551882886454,3,2,3,0.67,1.0,Virsort,Lin,0.67005780415
BP19_NODE_275_length_1213_cov_0_380037,1213,3.083860800866573,3,2,2,0.67,0.67,Diamond,Lin,0.7704364937999999
BP19_NODE_283_length_1196_cov_3_698605,1196,3.077731179652392,2,2,2,1.0,1.0,Diamond,Lin,0.9935991741
BP19_NODE_2_length_21493_cov_3_297492,21493,4.3322970386888855,18,10,14,0.56,0.78,Virsort,Lin,0.5233621655428572
BP19_NODE_32_length_3809_cov_5_038503,3809,3.580810972660946,7,1,2,0.14,0.29,Virsort,Lin,1.0
BP19_NODE_36_length_3642_cov_9_804885,3642,3.5613399414589013,7,0,0,0.0,0.0,Virsort,Lin,0.0
BP19_NODE_3_length_17422_cov_18_925264,17422,4.241098009403334,22,9,11,0.41,0.5,Virsort,Lin,0.89509253505
BP19_NODE_41_length_3505_cov_3_493499,3505,3.5446880223026773,4,3,3,0.75,0.75,Virsort,Lin,1.0
BP19_NODE_496_length_834_cov_0_455820,834,2.921166050637739,2,1,2,0.5,1.0,Diamond,Lin,0.5984166967
BP19_NODE_49_length_3289_cov_1_557765,3289,3.5170638734826545,6,4,4,0.67,0.67,Virsort,Lin,0.49294273825
BP19_NODE_4_length_14639_cov_6_739634,14639,4.1655114107855535,24,8,9,0.33,0.38,Virsort,Lin,0.7040879155166667
BP19_NODE_50_length_3257_cov_1_054528,3257,3.512817758564873,5,2,2,0.4,0.4,Virsort,Lin,0.7809755448000001
BP19_NODE_55_length_3118_cov_0_960627,3118,3.4938761108528227,5,4,4,0.8,0.8,Virsort,Lin,0.7408218196333333
BP19_NODE_5_length_13033_cov_6_983581,13033,4.115044395258413,12,1,1,0.08,0.08,Virsort,Lin,0.0
BP19_NODE_66_length_2866_cov_3_111475,2866,3.4572761860613257,6,0,0,0.0,0.0,Virsort,Lin,0.0
BP19_NODE_69_length_2759_cov_0_636846,2759,3.4407517004791854,9,3,3,0.33,0.33,Virsort,Lin,0.52456519775
BP19_NODE_6_length_12229_cov_13_883961,12229,4.087390944997188,10,4,5,0.4,0.5,Diamond,Lin,0.9957327827333332
BP19_NODE_7_length_11792_cov_3_579985,11792,4.071587470514976,10,8,8,0.8,0.8,Virsort,Lin,1.0
BP19_NODE_844_length_588_cov_0_732334,588,2.7693773260761385,1,1,1,1.0,1.0,Diamond,Lin,0.0449668325
BP19_NODE_85_length_2421_cov_1_194783,2421,3.383994789441733,7,0,0,0.0,0.0,Virsort,Lin,0.0
BP19_NODE_889_length_568_cov_0_395973,568,2.754348335711019,2,1,1,0.5,0.5,Diamond,Lin,0.8341414479000001
BP19_NODE_8_length_11484_cov_2_892898,11484,4.060093183824469,16,8,9,0.5,0.56,Virsort,Lin,0.616648049
BP1_NODE_109_length_1442_cov_1_826646,1442,3.15896526038341,2,2,2,1.0,1.0,Diamond,Lin,1.0
BP1_NODE_118_length_1417_cov_0_462963,1417,3.1513698502474603,5,3,3,0.6,0.6,Virsort,Lin,0.6290985229
BP1_NODE_1212_length_547_cov_0_553991,547,2.737987326333431,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP1_NODE_133_length_1321_cov_0_498333,1321,3.1209028176145273,4,1,1,0.25,0.25,Diamond,Lin,0.0
BP1_NODE_1351_length_523_cov_0_199005,523,2.718501688867274,2,1,1,0.5,0.5,Diamond,Lin,0.0
BP1_NODE_193_length_1145_cov_0_224609,1145,3.0588054866759067,3,2,2,0.67,0.67,Diamond,Lin,0.9076627558
BP1_NODE_1_length_28117_cov_96_084369,28117,4.448968980894368,38,6,7,0.16,0.18,Virsort,Lin,0.40649775637499996
BP1_NODE_25_length_3099_cov_2_063801,3099,3.491221576239283,7,3,4,0.43,0.57,Virsort,Lin,0.5082375545333333
BP1_NODE_29_length_2884_cov_2_545060,2884,3.4599952560473914,7,3,3,0.43,0.43,Virsort,Lin,0.7338892865333334
BP1_NODE_300_length_973_cov_0_179577,973,2.988112840268352,2,1,1,0.5,0.5,Diamond,Lin,0.0750864646
BP1_NODE_37_length_2578_cov_0_557184,2578,3.4112829130173843,5,4,4,0.8,0.8,Virsort,Lin,0.5223882425999999
BP1_NODE_39_length_2517_cov_0_671953,2517,3.4008832155483626,3,3,3,1.0,1.0,Virsort,Lin,0.14930319044999998
BP1_NODE_43_length_2389_cov_3_477954,2389,3.378216149749878,4,3,4,0.75,1.0,Virsort,Lin,0.7099828102666667
BP1_NODE_47_length_2199_cov_2_041386,2199,3.3422252293607904,4,1,2,0.25,0.5,Virsort,Lin,0.8327070545999999
BP1_NODE_51_length_2034_cov_0_311030,2034,3.3083509485867255,2,1,1,0.5,0.5,Diamond,Lin,1.0
