## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_BP17_NODE_6_length_4671_cov_2_184615,5,VIRSorter_BP17_NODE_6_length_4671_cov_2_184615,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_BP17_NODE_7_length_3790_cov_4_110657,5,VIRSorter_BP17_NODE_7_length_3790_cov_4_110657,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_BP18_NODE_20_length_2194_cov_0_459238,5,VIRSorter_BP18_NODE_20_length_2194_cov_0_459238,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_BP19_NODE_101_length_2117_cov_1_475451,3,VIRSorter_BP19_NODE_101_length_2117_cov_1_475451,3,1,1,2.93987201451834,,,,,
VIRSorter_BP19_NODE_118_length_1883_cov_2_528377,4,VIRSorter_BP19_NODE_118_length_1883_cov_2_528377,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP19_NODE_14_length_6852_cov_6_607636,7,VIRSorter_BP19_NODE_14_length_6852_cov_6_607636,7,1,3,2.48930326819235,,4.14379266564342,,,
VIRSorter_BP19_NODE_15_length_6491_cov_3_613030,7,VIRSorter_BP19_NODE_15_length_6491_cov_3_613030,7,1,2,5.07549135735669,,4.14379266564342,,,
VIRSorter_BP19_NODE_16_length_6089_cov_4_880697,7,VIRSorter_BP19_NODE_16_length_6089_cov_4_880697,7,1,1,5.07549135735669,,4.14379266564342,,,
VIRSorter_BP19_NODE_50_length_3257_cov_1_054528,5,VIRSorter_BP19_NODE_50_length_3257_cov_1_054528,5,1,1,2.01071095767098,,,,,
VIRSorter_BP19_NODE_55_length_3118_cov_0_960627,5,VIRSorter_BP19_NODE_55_length_3118_cov_0_960627,5,1,2,2.01071095767098,,,,,
VIRSorter_BP19_NODE_7_length_11792_cov_3_579985,10,VIRSorter_BP19_NODE_7_length_11792_cov_3_579985,10,1,3,7.86260809755767,,5.91970380806202,,,
VIRSorter_BP1_NODE_25_length_3099_cov_2_063801,7,VIRSorter_BP1_NODE_25_length_3099_cov_2_063801,7,1,1,5.07549135735669,,4.14379266564342,,,
VIRSorter_BP1_NODE_6_length_7016_cov_3_128644,8,VIRSorter_BP1_NODE_6_length_7016_cov_3_128644,8,1,1,2.22581054573474,,2.31900720322322,,,
VIRSorter_BP23_NODE_10_length_12974_cov_4_874971,9,VIRSorter_BP23_NODE_10_length_12974_cov_4_874971,9,1,2,2.95735660761269,,5.32773342725582,,,
VIRSorter_BP23_NODE_11_length_12964_cov_6_093436,14,VIRSorter_BP23_NODE_11_length_12964_cov_6_093436,14,1,6,12.54331147536324,,7.11149407223115,,,
VIRSorter_BP23_NODE_23_length_6376_cov_4_584333,4,VIRSorter_BP23_NODE_23_length_6376_cov_4_584333,4,1,3,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP23_NODE_2_length_42653_cov_45_250447-circular,60,VIRSorter_BP23_NODE_2_length_42653_cov_45_250447-circular,60,1,1,25.22437918948725,,24.84258230406637,,2.64535385006724,
VIRSorter_BP23_NODE_72_length_3012_cov_1_069180,8,VIRSorter_BP23_NODE_72_length_3012_cov_1_069180,8,1,1,2.22581054573474,,2.31900720322322,,,
VIRSorter_BP23_NODE_93_length_2467_cov_3_495311,4,VIRSorter_BP23_NODE_93_length_2467_cov_3_495311,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP24_NODE_169_length_1884_cov_0_305162,3,VIRSorter_BP24_NODE_169_length_1884_cov_0_305162,3,1,1,2.93987201451834,,,,,
VIRSorter_BP24_NODE_18_length_4056_cov_0_827700,4,VIRSorter_BP24_NODE_18_length_4056_cov_0_827700,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP24_NODE_2791_length_662_cov_0_306839,2,VIRSorter_BP24_NODE_2791_length_662_cov_0_306839,2,1,1,,2.51527613517049,,,,
VIRSorter_BP24_NODE_36_length_3361_cov_0_960185,5,VIRSorter_BP24_NODE_36_length_3361_cov_0_960185,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_BP24_NODE_46_length_3073_cov_1_309621,4,VIRSorter_BP24_NODE_46_length_3073_cov_1_309621,4,1,3,3.91982935269112,,2.36788152322481,,,
VIRSorter_BP24_NODE_55_length_2922_cov_1_034630,6,VIRSorter_BP24_NODE_55_length_2922_cov_1_034630,6,1,1,4.16129277473563,,3.55182228483721,,,
VIRSorter_BP24_NODE_5_length_6657_cov_2_248623,7,VIRSorter_BP24_NODE_5_length_6657_cov_2_248623,7,1,2,3.65676864270504,,,,,
VIRSorter_BP24_NODE_9_length_4740_cov_2_456376,8,VIRSorter_BP24_NODE_9_length_4740_cov_2_456376,8,1,2,2.22581054573474,,4.73576304644962,,,
VIRSorter_BP25_NODE_16_length_3821_cov_3_338649,5,VIRSorter_BP25_NODE_16_length_3821_cov_3_338649,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_BP27_NODE_11_length_4545_cov_1_663427,7,VIRSorter_BP27_NODE_11_length_4545_cov_1_663427,7,1,2,2.48930326819235,,4.14379266564342,,,
VIRSorter_BP27_NODE_12_length_4472_cov_1_362445,5,VIRSorter_BP27_NODE_12_length_4472_cov_1_362445,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_BP27_NODE_15_length_4204_cov_2_194710,9,VIRSorter_BP27_NODE_15_length_4204_cov_2_194710,9,1,1,4.07773535702027,,5.32773342725582,,,
VIRSorter_BP27_NODE_19_length_3557_cov_1_442957,4,VIRSorter_BP27_NODE_19_length_3557_cov_1_442957,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP31_NODE_15_length_3196_cov_1_176585,5,VIRSorter_BP31_NODE_15_length_3196_cov_1_176585,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_BP31_NODE_17_length_3075_cov_0_704469,4,VIRSorter_BP31_NODE_17_length_3075_cov_0_704469,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_BP31_NODE_5_length_5159_cov_0_723104,9,VIRSorter_BP31_NODE_5_length_5159_cov_0_723104,9,1,1,5.38680578604491,,5.32773342725582,,,
VIRSorter_BP31_NODE_60_length_1501_cov_0_402174,3,VIRSorter_BP31_NODE_60_length_1501_cov_0_402174,3,1,1,2.93987201451834,,,,,
VIRSorter_BP33_NODE_15_length_7561_cov_5_364382,8,VIRSorter_BP33_NODE_15_length_7561_cov_5_364382,8,1,1,3.27022832213243,,3.35078025787009,,,
VIRSorter_BP33_NODE_20_length_6003_cov_8_435056,8,VIRSorter_BP33_NODE_20_length_6003_cov_8_435056,8,1,2,4.51418875484781,,4.73576304644962,,,
VIRSorter_BP33_NODE_27_length_3992_cov_1_944200,4,VIRSorter_BP33_NODE_27_length_3992_cov_1_944200,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP33_NODE_2_length_30045_cov_21_759190,31,VIRSorter_BP33_NODE_2_length_30045_cov_21_759190,31,1,1,6.46428589665494,,gene_1-gene_29:7.34087147772676,,,
VIRSorter_BP33_NODE_33_length_3629_cov_1_425314,8,VIRSorter_BP33_NODE_33_length_3629_cov_1_425314,8,1,1,3.27022832213243,,4.73576304644962,,,
VIRSorter_BP33_NODE_38_length_3377_cov_1_387899,4,VIRSorter_BP33_NODE_38_length_3377_cov_1_387899,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_BP33_NODE_39_length_3372_cov_2_232851,6,VIRSorter_BP33_NODE_39_length_3372_cov_2_232851,6,1,2,5.87974402903668,,3.55182228483721,,,
VIRSorter_BP33_NODE_4_length_28800_cov_2_678789,29,VIRSorter_BP33_NODE_4_length_28800_cov_2_678789,29,1,4,17.98535621696711,,9.87462525786462,,,
VIRSorter_BP33_NODE_78_length_2112_cov_1_536414,4,VIRSorter_BP33_NODE_78_length_2112_cov_1_536414,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_BP34_NODE_10_length_3525_cov_0_906874,5,VIRSorter_BP34_NODE_10_length_3525_cov_0_906874,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_BP35_NODE_10_length_5818_cov_2_933123,6,VIRSorter_BP35_NODE_10_length_5818_cov_2_933123,6,1,1,2.81958587565650,,3.55182228483721,,,
VIRSorter_BP35_NODE_25_length_3250_cov_0_930329,5,VIRSorter_BP35_NODE_25_length_3250_cov_0_930329,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_BP3_NODE_126_length_1122_cov_1_556444,4,VIRSorter_BP3_NODE_126_length_1122_cov_1_556444,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP3_NODE_16_length_4554_cov_14_064065,6,VIRSorter_BP3_NODE_16_length_4554_cov_14_064065,6,1,2,2.81958587565650,,3.55182228483721,,,
VIRSorter_BP40_NODE_14_length_3755_cov_1_211613,8,VIRSorter_BP40_NODE_14_length_3755_cov_1_211613,8,1,1,2.22581054573474,,4.73576304644962,,,
VIRSorter_BP40_NODE_39_length_1951_cov_1_816393,4,VIRSorter_BP40_NODE_39_length_1951_cov_1_816393,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP41_NODE_21_length_4545_cov_1_049277,4,VIRSorter_BP41_NODE_21_length_4545_cov_1_049277,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP43_NODE_3_length_6557_cov_1_912057,10,VIRSorter_BP43_NODE_3_length_6557_cov_1_912057,10,1,4,7.86260809755767,,5.91970380806202,,,
VIRSorter_BP43_NODE_46_length_1609_cov_0_536962,4,VIRSorter_BP43_NODE_46_length_1609_cov_0_536962,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP43_NODE_6_length_5058_cov_0_992303,6,VIRSorter_BP43_NODE_6_length_5058_cov_0_992303,6,1,1,5.87974402903668,,3.55182228483721,,,
VIRSorter_BP44_NODE_2_length_4288_cov_0_978882,6,VIRSorter_BP44_NODE_2_length_4288_cov_0_978882,6,1,1,5.87974402903668,,3.55182228483721,,,
VIRSorter_BP45_NODE_13_length_3852_cov_1_042080,7,VIRSorter_BP45_NODE_13_length_3852_cov_1_042080,7,1,1,2.48930326819235,,4.14379266564342,,,
VIRSorter_BP45_NODE_5_length_6400_cov_1_856187,9,VIRSorter_BP45_NODE_5_length_6400_cov_1_856187,9,1,1,4.07773535702027,,5.32773342725582,,,
VIRSorter_BP46_NODE_10_length_5845_cov_1_941999,8,VIRSorter_BP46_NODE_10_length_5845_cov_1_941999,8,1,2,2.22581054573474,,4.73576304644962,,,
VIRSorter_BP46_NODE_11_length_5731_cov_2_126381,6,VIRSorter_BP46_NODE_11_length_5731_cov_2_126381,6,1,2,4.16129277473563,,2.28585287993779,,,
VIRSorter_BP46_NODE_120_length_1644_cov_0_537098,3,VIRSorter_BP46_NODE_120_length_1644_cov_0_537098,3,1,1,2.93987201451834,,,,,
VIRSorter_BP46_NODE_13_length_5218_cov_0_724544,9,VIRSorter_BP46_NODE_13_length_5218_cov_0_724544,9,1,1,4.07773535702027,,5.32773342725582,,,
VIRSorter_BP46_NODE_35_length_2730_cov_0_451514,3,VIRSorter_BP46_NODE_35_length_2730_cov_0_451514,3,1,2,2.93987201451834,,,,,
VIRSorter_BP46_NODE_56_length_2283_cov_0_437095,3,VIRSorter_BP46_NODE_56_length_2283_cov_0_437095,3,1,1,2.93987201451834,,,,,
VIRSorter_BP48_NODE_3_length_8991_cov_2_700000,6,VIRSorter_BP48_NODE_3_length_8991_cov_2_700000,6,1,2,2.81958587565650,,3.55182228483721,,,
VIRSorter_BP49_NODE_11_length_9320_cov_2_263833,13,VIRSorter_BP49_NODE_11_length_9320_cov_2_263833,13,1,3,7.97506137252959,,5.10671773486417,,,
VIRSorter_BP49_NODE_13_length_7050_cov_0_714966,9,VIRSorter_BP49_NODE_13_length_7050_cov_0_714966,9,1,1,6.92785068212117,,5.32773342725582,,,
VIRSorter_BP49_NODE_162_length_1564_cov_0_545392,4,VIRSorter_BP49_NODE_162_length_1564_cov_0_545392,4,1,3,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP49_NODE_19_length_5667_cov_0_793725,5,VIRSorter_BP49_NODE_19_length_5667_cov_0_793725,5,1,2,4.89978669086390,,2.95985190403101,,,
VIRSorter_BP49_NODE_39_length_3621_cov_1_270000,6,VIRSorter_BP49_NODE_39_length_3621_cov_1_270000,6,1,1,2.81958587565650,,3.55182228483721,,,
VIRSorter_BP49_NODE_80_length_2386_cov_0_604415,3,VIRSorter_BP49_NODE_80_length_2386_cov_0_604415,3,1,1,2.93987201451834,,,,,
VIRSorter_BP50_NODE_1232_length_637_cov_0_519380,3,VIRSorter_BP50_NODE_1232_length_637_cov_0_519380,3,1,1,2.93987201451834,,,,,
VIRSorter_BP50_NODE_14_length_7220_cov_1_162417,12,VIRSorter_BP50_NODE_14_length_7220_cov_1_162417,12,1,2,8.96602797369541,,6.32549331929078,,,
VIRSorter_BP50_NODE_15_length_6575_cov_0_726991,9,VIRSorter_BP50_NODE_15_length_6575_cov_0_726991,9,1,3,2.95735660761269,,2.80707201587116,,,
VIRSorter_BP50_NODE_19_length_4721_cov_1_725217,10,VIRSorter_BP50_NODE_19_length_4721_cov_1_725217,10,1,3,4.90552410684877,,5.91970380806202,,,
VIRSorter_BP50_NODE_1_length_71699_cov_19_894646-circular,86,VIRSorter_BP50_NODE_1_length_71699_cov_19_894646-circular,86,1,4,70.74160189954740,,47.43189741713442,,gene_2-gene_84:6.35217489806250,
VIRSorter_BP50_NODE_22_length_3799_cov_0_646547,4,VIRSorter_BP50_NODE_22_length_3799_cov_0_646547,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_BP50_NODE_23_length_3767_cov_0_644268,7,VIRSorter_BP50_NODE_23_length_3767_cov_0_644268,7,1,1,5.07549135735669,,4.14379266564342,,,
VIRSorter_BP50_NODE_24_length_3718_cov_2_870726,4,VIRSorter_BP50_NODE_24_length_3718_cov_2_870726,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BP50_NODE_28_length_3577_cov_0_659722,8,VIRSorter_BP50_NODE_28_length_3577_cov_0_659722,8,1,2,7.83965870538224,,4.73576304644962,,,
VIRSorter_BP50_NODE_32_length_3444_cov_0_635570,5,VIRSorter_BP50_NODE_32_length_3444_cov_0_635570,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_BP50_NODE_37_length_3074_cov_1_704707,6,VIRSorter_BP50_NODE_37_length_3074_cov_1_704707,6,1,3,5.87974402903668,,3.55182228483721,,,
VIRSorter_BP50_NODE_4_length_51643_cov_134_843310-circular,62,VIRSorter_BP50_NODE_4_length_51643_cov_134_843310-circular,62,1,3,13.92212691774658,,27.57046882296858,,,
VIRSorter_BP50_NODE_5_length_45555_cov_7_532597-circular,70,VIRSorter_BP50_NODE_5_length_45555_cov_7_532597-circular,70,1,2,17.58113342969169,,27.24795956387144,,gene_4-gene_67:5.45982025951189,
VIRSorter_BP50_NODE_7_length_31634_cov_7_148098,45,VIRSorter_BP50_NODE_7_length_31634_cov_7_148098,45,1,3,16.98272834698892,,19.88553974184549,,,
VIRSorter_BP50_NODE_88_length_1981_cov_0_393548,5,VIRSorter_BP50_NODE_88_length_1981_cov_0_393548,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_BP9_NODE_4_length_2125_cov_0_408683,5,VIRSorter_BP9_NODE_4_length_2125_cov_0_408683,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_BeeP-05-2013_NODE_144_length_1973_cov_7_103903,4,VIRSorter_BeeP-05-2013_NODE_144_length_1973_cov_7_103903,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BeeP-05-2013_NODE_19_length_6628_cov_12_488933,9,VIRSorter_BeeP-05-2013_NODE_19_length_6628_cov_12_488933,9,1,2,4.07773535702027,,3.89359133625594,,,
VIRSorter_BeeP-05-2013_NODE_237_length_1432_cov_2_048708,4,VIRSorter_BeeP-05-2013_NODE_237_length_1432_cov_2_048708,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BeeP-05-2013_NODE_47_length_3542_cov_10_371140,5,VIRSorter_BeeP-05-2013_NODE_47_length_3542_cov_10_371140,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_BeeP-05-2013_NODE_67_length_3058_cov_9_438443,7,VIRSorter_BeeP-05-2013_NODE_67_length_3058_cov_9_438443,7,1,1,3.65676864270504,,4.14379266564342,,,
VIRSorter_BeeP-05-2013_NODE_69_length_2993_cov_4_772977,8,VIRSorter_BeeP-05-2013_NODE_69_length_2993_cov_4_772977,8,1,1,2.22581054573474,,4.73576304644962,,,
VIRSorter_BeeP-05-2013_NODE_86_length_2604_cov_14_952117,3,VIRSorter_BeeP-05-2013_NODE_86_length_2604_cov_14_952117,3,1,1,2.93987201451834,,,,,
VIRSorter_BeeP-05-2013_NODE_95_length_2490_cov_4_218815,4,VIRSorter_BeeP-05-2013_NODE_95_length_2490_cov_4_218815,4,1,3,3.91982935269112,,2.36788152322481,,,
VIRSorter_BeeP-10-2013_NODE_3_length_5262_cov_3_458245,8,VIRSorter_BeeP-10-2013_NODE_3_length_5262_cov_3_458245,8,1,1,3.27022832213243,,4.73576304644962,,,
VIRSorter_BeeP-11-2013_NODE_1002_length_1818_cov_3_128087,5,VIRSorter_BeeP-11-2013_NODE_1002_length_1818_cov_3_128087,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_BeeP-11-2013_NODE_1035_length_1788_cov_4_946815,6,VIRSorter_BeeP-11-2013_NODE_1035_length_1788_cov_4_946815,6,1,1,4.16129277473563,,3.55182228483721,,,
VIRSorter_BeeP-11-2013_NODE_1038_length_1787_cov_3_974269,3,VIRSorter_BeeP-11-2013_NODE_1038_length_1787_cov_3_974269,3,1,2,2.93987201451834,,,,,
VIRSorter_BeeP-11-2013_NODE_106_length_8517_cov_46_099763,13,VIRSorter_BeeP-11-2013_NODE_106_length_8517_cov_46_099763,13,1,2,9.68969707758156,,5.10671773486417,,,
VIRSorter_BeeP-11-2013_NODE_108_length_8344_cov_9_333737,7,VIRSorter_BeeP-11-2013_NODE_108_length_8344_cov_9_333737,7,1,3,6.85970136720946,,4.14379266564342,,,
VIRSorter_BeeP-11-2013_NODE_1122_length_1713_cov_2_995110,3,VIRSorter_BeeP-11-2013_NODE_1122_length_1713_cov_2_995110,3,1,1,2.93987201451834,,,,,
VIRSorter_BeeP-11-2013_NODE_112_length_8082_cov_21_752530,9,VIRSorter_BeeP-11-2013_NODE_112_length_8082_cov_21_752530,9,1,1,6.92785068212117,,5.32773342725582,,,
VIRSorter_BeeP-11-2013_NODE_1147_length_1693_cov_9_358911,5,VIRSorter_BeeP-11-2013_NODE_1147_length_1693_cov_9_358911,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_BeeP-11-2013_NODE_118_length_7717_cov_12_595942,10,VIRSorter_BeeP-11-2013_NODE_118_length_7717_cov_12_595942,10,1,2,4.90552410684877,,5.91970380806202,,,
VIRSorter_BeeP-11-2013_NODE_120_length_7671_cov_32_409007,11,VIRSorter_BeeP-11-2013_NODE_120_length_7671_cov_32_409007,11,1,5,8.32450822074734,,6.03455293414856,,,
VIRSorter_BeeP-11-2013_NODE_123_length_7327_cov_38_954897,5,VIRSorter_BeeP-11-2013_NODE_123_length_7327_cov_38_954897,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_BeeP-11-2013_NODE_1243_length_1599_cov_2_198423,4,VIRSorter_BeeP-11-2013_NODE_1243_length_1599_cov_2_198423,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BeeP-11-2013_NODE_1251_length_1593_cov_2_223615,4,VIRSorter_BeeP-11-2013_NODE_1251_length_1593_cov_2_223615,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_BeeP-11-2013_NODE_127_length_7197_cov_8_221067,9,VIRSorter_BeeP-11-2013_NODE_127_length_7197_cov_8_221067,9,1,1,8.81961604355502,,5.32773342725582,,,
VIRSorter_BeeP-11-2013_NODE_131_length_7028_cov_11_339951,6,VIRSorter_BeeP-11-2013_NODE_131_length_7028_cov_11_339951,6,1,2,5.87974402903668,,3.55182228483721,,,
VIRSorter_BeeP-11-2013_NODE_132_length_7010_cov_13_893985,7,VIRSorter_BeeP-11-2013_NODE_132_length_7010_cov_13_893985,7,1,4,5.07549135735669,,4.14379266564342,,,
VIRSorter_BeeP-11-2013_NODE_133_length_6950_cov_9_394733,7,VIRSorter_BeeP-11-2013_NODE_133_length_6950_cov_9_394733,7,1,1,3.65676864270504,,,,,
VIRSorter_BeeP-11-2013_NODE_1355_length_1524_cov_3_616448,4,VIRSorter_BeeP-11-2013_NODE_1355_length_1524_cov_3_616448,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_BeeP-11-2013_NODE_137_length_6772_cov_10_184317,4,VIRSorter_BeeP-11-2013_NODE_137_length_6772_cov_10_184317,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_BeeP-11-2013_NODE_138_length_6666_cov_205_648657,7,VIRSorter_BeeP-11-2013_NODE_138_length_6666_cov_205_648657,7,1,2,5.07549135735669,,4.14379266564342,,,
VIRSorter_BeeP-11-2013_NODE_13_length_44796_cov_40_206802,74,VIRSorter_BeeP-11-2013_NODE_13_length_44796_cov_40_206802,74,1,5,34.13072505321753,,40.47438088313823,,,
VIRSorter_BeeP-11-2013_NODE_142_length_6503_cov_54_464052,9,VIRSorter_BeeP-11-2013_NODE_142_length_6503_cov_54_464052,9,1,4,6.92785068212117,21.57414184857219,5.32773342725582,,,
VIRSorter_BeeP-11-2013_NODE_147_length_6465_cov_15_677833,8,VIRSorter_BeeP-11-2013_NODE_147_length_6465_cov_15_677833,8,1,3,5.99834991174870,,4.73576304644962,,,
VIRSorter_BeeP-11-2013_NODE_152_length_6338_cov_8_287654,9,VIRSorter_BeeP-11-2013_NODE_152_length_6338_cov_8_287654,9,1,2,5.38680578604491,,5.32773342725582,,,
VIRSorter_BeeP-11-2013_NODE_153_length_6224_cov_21_378396,7,VIRSorter_BeeP-11-2013_NODE_153_length_6224_cov_21_378396,7,1,1,6.85970136720946,,4.14379266564342,,,
VIRSorter_BeeP-11-2013_NODE_154_length_6212_cov_17_839935,10,VIRSorter_BeeP-11-2013_NODE_154_length_6212_cov_17_839935,10,1,1,6.27125797463711,,5.91970380806202,,,
VIRSorter_BeeP-11-2013_NODE_158_length_6170_cov_21_161989,10,VIRSorter_BeeP-11-2013_NODE_158_length_6170_cov_21_161989,10,1,2,7.86260809755767,,5.91970380806202,,,
VIRSorter_BeeP-11-2013_NODE_159_length_6152_cov_7_117860,8,VIRSorter_BeeP-11-2013_NODE_159_length_6152_cov_7_117860,8,1,3,4.51418875484781,,4.73576304644962,,,
VIRSorter_BeeP-11-2013_NODE_160_length_6151_cov_15_839644,7,VIRSorter_BeeP-11-2013_NODE_160_length_6151_cov_15_839644,7,1,5,5.07549135735669,,4.14379266564342,,,
VIRSorter_BeeP-11-2013_NODE_162_length_6127_cov_11_134876,9,VIRSorter_BeeP-11-2013_NODE_162_length_6127_cov_11_134876,9,1,2,8.81961604355502,,5.32773342725582,,,
VIRSorter_BeeP-11-2013_NODE_165_length_6006_cov_14_565863,9,VIRSorter_BeeP-11-2013_NODE_165_length_6006_cov_14_565863,9,1,1,2.95735660761269,,3.89359133625594,,,
VIRSorter_BeeP-11-2013_NODE_166_length_6002_cov_26_671899,5,VIRSorter_BeeP-11-2013_NODE_166_length_6002_cov_26_671899,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_BeeP-11-2013_NODE_167_length_5993_cov_7_089080,8,VIRSorter_BeeP-11-2013_NODE_167_length_5993_cov_7_089080,8,1,1,5.99834991174870,,4.73576304644962,,,
VIRSorter_BeeP-11-2013_NODE_168_length_5983_cov_6_603115,6,VIRSorter_BeeP-11-2013_NODE_168_length_5983_cov_6_603115,6,1,2,4.16129277473563,,2.28585287993779,,,
VIRSorter_BeeP-11-2013_NODE_169_length_5958_cov_160_716545,10,VIRSorter_BeeP-11-2013_NODE_169_length_5958_cov_160_716545,10,1,1,7.86260809755767,,5.91970380806202,,,
VIRSorter_BeeP-11-2013_NODE_170_length_5942_cov_9_840580,6,VIRSorter_BeeP-11-2013_NODE_170_length_5942_cov_9_840580,6,1,2,4.16129277473563,,3.55182228483721,,,
