,Group
BP10_NODE_1885_length_574_cov_0_439294,Low coverage
BP10_NODE_1902_length_572_cov_0_330377,Low coverage
BP10_NODE_1915_length_571_cov_0_255556,Low coverage
BP10_NODE_1952_length_567_cov_0_562780,Low coverage
BP10_NODE_1979_length_565_cov_0_168919,Low coverage
BP10_NODE_2041_length_559_cov_0_442922,Low coverage
BP10_NODE_2118_length_553_cov_0_148148,Low coverage
BP10_NODE_2160_length_548_cov_0_934426,Low coverage
BP10_NODE_2346_length_536_cov_0_255422,Low coverage
BP10_NODE_2463_length_528_cov_0_230958,Low coverage
BP10_NODE_2651_length_516_cov_0_205063,Low coverage
BP10_NODE_2684_length_514_cov_0_297710,Low coverage
BP10_NODE_2720_length_512_cov_0_235294,Low coverage
BP10_NODE_2942_length_501_cov_0_155263,Low coverage
BP12_NODE_1_length_10582_cov_4_477010,High modularity 0
BP12_NODE_5_length_7588_cov_4_160707,High coverage
BP12_NODE_8_length_6853_cov_2_163250,High coverage
BP12_NODE_11_length_4973_cov_1_581204,High coverage
BP12_NODE_12_length_4871_cov_5_243789,High coverage
BP12_NODE_13_length_4753_cov_1_700561,High coverage
BP12_NODE_16_length_4233_cov_1_649805,High coverage
BP12_NODE_24_length_3444_cov_1_337647,High coverage
BP12_NODE_35_length_2818_cov_3_725621,High coverage
BP12_NODE_55_length_2087_cov_0_668871,High coverage
BP12_NODE_58_length_1955_cov_0_960742,High coverage
BP12_NODE_60_length_1894_cov_0_973491,High coverage
BP12_NODE_67_length_1789_cov_0_651679,High coverage
BP12_NODE_261_length_654_cov_0_448405,High coverage
BP12_NODE_276_length_624_cov_0_423459,Low coverage
BP17_NODE_6_length_4671_cov_2_184615,High coverage
BP17_NODE_7_length_3790_cov_4_110657,High coverage
BP17_NODE_9_length_3609_cov_8_337156,High coverage
BP17_NODE_12_length_2881_cov_1_331159,High coverage
BP17_NODE_20_length_2310_cov_1_253084,High coverage
BP17_NODE_21_length_2309_cov_1_372943,High coverage
BP17_NODE_23_length_2222_cov_0_547834,Low coverage
BP17_NODE_63_length_1298_cov_0_903993,Low coverage
BP17_NODE_90_length_993_cov_3_506881,High coverage
BP17_NODE_166_length_666_cov_0_196330,Low coverage
BP18_NODE_1_length_32522_cov_11_534304,High modularity 1
BP18_NODE_4_length_3733_cov_10_877353,High coverage
BP18_NODE_5_length_3676_cov_8_074262,High coverage
BP18_NODE_7_length_3111_cov_0_847492,High coverage
BP18_NODE_20_length_2194_cov_0_459238,Low coverage
BP18_NODE_48_length_1657_cov_0_634766,High coverage
BP18_NODE_49_length_1647_cov_0_366972,Low coverage
BP18_NODE_80_length_1247_cov_0_697158,High coverage
BP18_NODE_86_length_1229_cov_0_488267,Low coverage
BP18_NODE_90_length_1217_cov_0_502737,Low coverage
BP18_NODE_102_length_1153_cov_0_380814,Low coverage
BP18_NODE_106_length_1127_cov_0_813121,High coverage
BP18_NODE_119_length_1064_cov_0_559915,Low coverage
BP18_NODE_120_length_1057_cov_0_500000,Low coverage
BP18_NODE_153_length_898_cov_0_380952,Low coverage
BP18_NODE_156_length_890_cov_0_182055,Low coverage
BP18_NODE_159_length_882_cov_0_470434,Low coverage
BP18_NODE_162_length_873_cov_0_265957,Low coverage
BP18_NODE_165_length_858_cov_1_009498,High coverage
BP18_NODE_180_length_828_cov_0_701556,Low coverage
BP18_NODE_181_length_828_cov_0_371994,Low coverage
BP18_NODE_182_length_827_cov_0_429178,Low coverage
BP18_NODE_185_length_824_cov_0_530583,Low coverage
BP18_NODE_192_length_807_cov_0_338192,Low coverage
BP18_NODE_207_length_771_cov_0_415385,Low coverage
BP18_NODE_212_length_758_cov_0_248038,Low coverage
BP18_NODE_215_length_753_cov_0_267405,Low coverage
BP18_NODE_217_length_751_cov_0_507937,Low coverage
BP18_NODE_218_length_750_cov_0_540541,Low coverage
BP18_NODE_223_length_740_cov_0_809370,High coverage
BP18_NODE_227_length_732_cov_0_477905,Low coverage
BP18_NODE_247_length_704_cov_0_581475,Low coverage
BP18_NODE_298_length_626_cov_0_623762,Low coverage
BP18_NODE_306_length_619_cov_0_586345,Low coverage
BP18_NODE_309_length_616_cov_0_200000,Low coverage
BP18_NODE_353_length_579_cov_0_272926,Low coverage
BP18_NODE_407_length_523_cov_0_144279,Low coverage
BP18_NODE_416_length_513_cov_0_219388,Low coverage
BP19_NODE_1_length_107175_cov_15_429755,High modularity 0
BP19_NODE_2_length_21493_cov_3_297492,High modularity 0
BP19_NODE_3_length_17422_cov_18_925264,High modularity 0
BP19_NODE_4_length_14639_cov_6_739634,High modularity 0
BP19_NODE_5_length_13033_cov_6_983581,High modularity 0
BP19_NODE_6_length_12229_cov_13_883961,High modularity 0
BP19_NODE_7_length_11792_cov_3_579985,High modularity 0
BP19_NODE_8_length_11484_cov_2_892898,High modularity 1
BP19_NODE_10_length_8711_cov_6_054482,High coverage
BP19_NODE_11_length_7474_cov_3_916769,High coverage
BP19_NODE_13_length_7035_cov_5_410761,High coverage
BP19_NODE_14_length_6852_cov_6_607636,High coverage
BP19_NODE_15_length_6491_cov_3_613030,High coverage
BP19_NODE_16_length_6089_cov_4_880697,High coverage
BP19_NODE_17_length_5884_cov_4_257331,High coverage
BP19_NODE_19_length_5562_cov_4_698585,High coverage
BP19_NODE_32_length_3809_cov_5_038503,High coverage
BP19_NODE_36_length_3642_cov_9_804885,High coverage
BP19_NODE_41_length_3505_cov_3_493499,High coverage
BP19_NODE_49_length_3289_cov_1_557765,High coverage
BP19_NODE_50_length_3257_cov_1_054528,Low coverage
BP19_NODE_55_length_3118_cov_0_960627,High coverage
BP19_NODE_66_length_2866_cov_3_111475,High coverage
BP19_NODE_69_length_2759_cov_0_636846,Low coverage
BP19_NODE_85_length_2421_cov_1_194783,Low coverage
BP19_NODE_101_length_2117_cov_1_475451,High coverage
BP19_NODE_118_length_1883_cov_2_528377,High coverage
BP19_NODE_135_length_1814_cov_3_174838,High coverage
BP19_NODE_195_length_1456_cov_0_436704,High coverage
BP19_NODE_271_length_1229_cov_0_359206,High coverage
BP19_NODE_275_length_1213_cov_0_380037,Low coverage
BP19_NODE_283_length_1196_cov_3_698605,High coverage
BP19_NODE_496_length_834_cov_0_455820,Low coverage
BP19_NODE_844_length_588_cov_0_732334,Low coverage
BP19_NODE_889_length_568_cov_0_395973,High coverage
BP1_NODE_1_length_28117_cov_96_084369,High modularity 0
BP1_NODE_6_length_7016_cov_3_128644,High coverage
BP1_NODE_8_length_5218_cov_2_280950,Low coverage
BP1_NODE_9_length_5152_cov_1_513814,High coverage
BP1_NODE_25_length_3099_cov_2_063801,High coverage
BP1_NODE_29_length_2884_cov_2_545060,Low coverage
BP1_NODE_37_length_2578_cov_0_557184,Low coverage
BP1_NODE_39_length_2517_cov_0_671953,Low coverage
BP1_NODE_43_length_2389_cov_3_477954,High coverage
BP1_NODE_47_length_2199_cov_2_041386,High coverage
BP1_NODE_51_length_2034_cov_0_311030,High coverage
BP1_NODE_76_length_1668_cov_0_785391,Low coverage
BP1_NODE_82_length_1620_cov_0_951968,High coverage
BP1_NODE_109_length_1442_cov_1_826646,High coverage
BP1_NODE_118_length_1417_cov_0_462963,Low coverage
BP1_NODE_133_length_1321_cov_0_498333,Low coverage
BP1_NODE_193_length_1145_cov_0_224609,Low coverage
BP1_NODE_300_length_973_cov_0_179577,Low coverage
BP1_NODE_544_length_762_cov_0_180967,Low coverage
BP1_NODE_598_length_727_cov_0_102310,Low coverage
BP1_NODE_638_length_712_cov_0_269036,Low coverage
BP1_NODE_662_length_697_cov_0_211806,Low coverage
BP1_NODE_770_length_652_cov_0_389831,Low coverage
BP1_NODE_961_length_599_cov_0_221757,Low coverage
BP1_NODE_997_length_593_cov_0_108051,Low coverage
BP1_NODE_998_length_593_cov_0_069915,Low coverage
BP1_NODE_1212_length_547_cov_0_553991,High coverage
BP1_NODE_1351_length_523_cov_0_199005,Low coverage
BP20_NODE_22_length_1241_cov_0_639286,High coverage
BP20_NODE_46_length_952_cov_0_290012,High coverage
BP20_NODE_101_length_688_cov_0_248677,High coverage
BP20_NODE_134_length_604_cov_0_258799,High coverage
BP21_NODE_12_length_1878_cov_0_891861,High coverage
BP21_NODE_71_length_850_cov_2_960219,High coverage
BP23_NODE_2_length_42653_cov_45_250447,High modularity 2
BP23_NODE_3_length_39647_cov_47_954890,High modularity 2
BP23_NODE_4_length_30396_cov_3_559339,High modularity 1
BP23_NODE_5_length_17242_cov_4_295894,High modularity 1
BP23_NODE_6_length_16209_cov_4_360144,High modularity 1
BP23_NODE_7_length_15449_cov_12_299909,High modularity 2
BP23_NODE_8_length_14883_cov_5_184934,High modularity 1
BP23_NODE_9_length_14015_cov_5_064992,High modularity 1
BP23_NODE_10_length_12974_cov_4_874971,High modularity 1
BP23_NODE_11_length_12964_cov_6_093436,High modularity 2
BP23_NODE_15_length_9743_cov_4_348576,Low coverage
BP23_NODE_17_length_8705_cov_11_203169,High coverage
BP23_NODE_19_length_8425_cov_4_798892,Low coverage
BP23_NODE_20_length_8375_cov_11_405864,High coverage
BP23_NODE_21_length_7373_cov_4_824186,Low coverage
BP23_NODE_23_length_6376_cov_4_584333,Low coverage
BP23_NODE_24_length_6220_cov_1_540580,Low coverage
BP23_NODE_26_length_5978_cov_5_586819,Low coverage
BP23_NODE_27_length_5842_cov_1_403076,Low coverage
BP23_NODE_29_length_5407_cov_1_805524,High coverage
BP23_NODE_30_length_5295_cov_3_328759,High coverage
BP23_NODE_33_length_4756_cov_4_111327,High coverage
BP23_NODE_34_length_4688_cov_0_992555,Low coverage
BP23_NODE_39_length_4412_cov_3_300629,Low coverage
BP23_NODE_40_length_4355_cov_1_236656,Low coverage
BP23_NODE_45_length_4029_cov_1_837001,Low coverage
BP23_NODE_49_length_3737_cov_2_909569,Low coverage
BP23_NODE_56_length_3461_cov_1_264970,High coverage
BP23_NODE_58_length_3344_cov_1_197021,High coverage
BP23_NODE_62_length_3251_cov_1_364537,High coverage
BP23_NODE_63_length_3228_cov_4_284519,Low coverage
BP23_NODE_64_length_3224_cov_2_525943,High coverage
BP23_NODE_67_length_3107_cov_0_576021,High coverage
BP23_NODE_72_length_3012_cov_1_069180,High coverage
BP23_NODE_80_length_2723_cov_3_586472,High coverage
BP23_NODE_82_length_2700_cov_0_599845,Low coverage
BP23_NODE_85_length_2560_cov_0_413694,Low coverage
BP23_NODE_86_length_2550_cov_0_664883,Low coverage
BP23_NODE_91_length_2512_cov_6_693015,High coverage
BP23_NODE_93_length_2467_cov_3_495311,High coverage
BP23_NODE_98_length_2394_cov_0_374835,Low coverage
BP23_NODE_100_length_2376_cov_0_834146,Low coverage
BP23_NODE_115_length_2171_cov_15_961463,High coverage
BP23_NODE_117_length_2159_cov_0_426398,Low coverage
BP23_NODE_124_length_2098_cov_3_839656,High coverage
BP23_NODE_133_length_1998_cov_5_282365,High coverage
BP23_NODE_135_length_1978_cov_0_385030,Low coverage
BP23_NODE_182_length_1576_cov_0_826117,Low coverage
BP23_NODE_194_length_1507_cov_0_538240,Low coverage
BP23_NODE_220_length_1368_cov_0_446672,Low coverage
BP23_NODE_236_length_1321_cov_0_336667,Low coverage
BP23_NODE_276_length_1191_cov_0_388785,Low coverage
BP23_NODE_324_length_1099_cov_0_276074,Low coverage
BP23_NODE_331_length_1086_cov_0_382383,Low coverage
BP23_NODE_342_length_1056_cov_0_214973,Low coverage
BP23_NODE_348_length_1045_cov_0_321429,Low coverage
BP23_NODE_349_length_1043_cov_0_365510,Low coverage
BP23_NODE_376_length_1009_cov_0_551802,Low coverage
BP23_NODE_386_length_994_cov_0_592211,High coverage
BP23_NODE_394_length_988_cov_0_365629,Low coverage
BP23_NODE_409_length_978_cov_0_942824,Low coverage
BP23_NODE_410_length_978_cov_0_473746,Low coverage
BP23_NODE_411_length_976_cov_0_466667,Low coverage
BP23_NODE_424_length_953_cov_0_167067,Low coverage
BP23_NODE_461_length_917_cov_0_910804,Low coverage
BP23_NODE_476_length_898_cov_0_238095,Low coverage
BP23_NODE_490_length_880_cov_0_289855,Low coverage
BP23_NODE_533_length_841_cov_0_487500,Low coverage
BP23_NODE_565_length_813_cov_0_270231,Low coverage
BP23_NODE_692_length_730_cov_0_103448,Low coverage
BP23_NODE_711_length_719_cov_0_183946,Low coverage
BP23_NODE_781_length_677_cov_0_294964,Low coverage
BP23_NODE_835_length_655_cov_0_159176,Low coverage
BP23_NODE_865_length_644_cov_0_252390,Low coverage
BP23_NODE_927_length_621_cov_0_178000,Low coverage
BP23_NODE_944_length_611_cov_0_200000,Low coverage
BP23_NODE_986_length_601_cov_0_087500,Low coverage
BP23_NODE_1015_length_592_cov_0_318471,Low coverage
BP23_NODE_1032_length_589_cov_0_070513,Low coverage
BP23_NODE_1059_length_582_cov_0_206074,Low coverage
BP23_NODE_1066_length_580_cov_0_259259,Low coverage
BP23_NODE_1077_length_577_cov_0_267544,Low coverage
BP23_NODE_1098_length_570_cov_0_091314,Low coverage
BP23_NODE_1118_length_564_cov_0_221219,Low coverage
BP23_NODE_1209_length_546_cov_0_211765,Low coverage
BP23_NODE_1253_length_537_cov_0_158654,Low coverage
BP23_NODE_1256_length_536_cov_0_330120,Low coverage
BP23_NODE_1281_length_530_cov_0_371638,Low coverage
BP23_NODE_1325_length_519_cov_0_160804,Low coverage
BP23_NODE_1337_length_516_cov_0_678481,Low coverage
BP23_NODE_1411_length_504_cov_0_383812,Low coverage
BP23_NODE_1422_length_503_cov_0_117801,Low coverage
BP23_NODE_1425_length_502_cov_0_354331,Low coverage
BP24_NODE_1_length_10641_cov_1_467776,High modularity 2
BP24_NODE_3_length_9536_cov_5_340627,High coverage
BP24_NODE_5_length_6657_cov_2_248623,High coverage
BP24_NODE_6_length_6383_cov_1_110348,Low coverage
BP24_NODE_9_length_4740_cov_2_456376,High coverage
BP24_NODE_10_length_4716_cov_2_253754,High coverage
BP24_NODE_13_length_4443_cov_3_546506,High coverage
BP24_NODE_14_length_4235_cov_0_397180,Low coverage
BP24_NODE_16_length_4150_cov_3_007198,High coverage
BP24_NODE_18_length_4056_cov_0_827700,High coverage
BP24_NODE_21_length_3840_cov_2_635924,High coverage
BP24_NODE_26_length_3589_cov_0_897636,High coverage
BP24_NODE_28_length_3561_cov_1_044767,Low coverage
BP24_NODE_30_length_3537_cov_0_397834,Low coverage
BP24_NODE_36_length_3361_cov_0_960185,High coverage
BP24_NODE_40_length_3228_cov_1_202124,Low coverage
BP24_NODE_41_length_3208_cov_1_381276,Low coverage
BP24_NODE_46_length_3073_cov_1_309621,High coverage
BP24_NODE_49_length_2972_cov_1_146966,Low coverage
BP24_NODE_54_length_2932_cov_1_362860,Low coverage
BP24_NODE_55_length_2922_cov_1_034630,Low coverage
BP24_NODE_58_length_2881_cov_1_409420,Low coverage
BP24_NODE_62_length_2797_cov_0_728700,Low coverage
BP24_NODE_82_length_2438_cov_0_319810,Low coverage
BP24_NODE_85_length_2408_cov_0_439003,Low coverage
BP24_NODE_97_length_2289_cov_0_570572,Low coverage
BP24_NODE_113_length_2161_cov_0_425000,Low coverage
BP24_NODE_116_length_2148_cov_1_799211,Low coverage
BP24_NODE_129_length_2057_cov_0_299070,Low coverage
BP24_NODE_140_length_2003_cov_0_246015,Low coverage
BP24_NODE_142_length_1992_cov_0_504009,Low coverage
BP24_NODE_144_length_1983_cov_0_296455,Low coverage
BP24_NODE_151_length_1937_cov_0_266520,Low coverage
BP24_NODE_154_length_1928_cov_0_811289,High coverage
BP24_NODE_169_length_1884_cov_0_305162,Low coverage
BP24_NODE_174_length_1862_cov_3_390006,High coverage
BP24_NODE_180_length_1845_cov_0_498840,Low coverage
BP24_NODE_184_length_1826_cov_0_802933,Low coverage
BP24_NODE_186_length_1824_cov_0_641809,High coverage
BP24_NODE_201_length_1777_cov_0_458937,Low coverage
BP24_NODE_214_length_1755_cov_0_416769,Low coverage
BP24_NODE_223_length_1722_cov_0_681449,Low coverage
BP24_NODE_235_length_1681_cov_0_357692,Low coverage
BP24_NODE_252_length_1649_cov_0_446990,Low coverage
BP24_NODE_320_length_1517_cov_0_446991,Low coverage
BP24_NODE_370_length_1447_cov_0_433635,High coverage
BP24_NODE_399_length_1413_cov_0_765480,Low coverage
BP24_NODE_410_length_1395_cov_0_875196,Low coverage
BP24_NODE_420_length_1389_cov_0_523659,Low coverage
BP24_NODE_457_length_1357_cov_0_151294,Low coverage
BP24_NODE_460_length_1353_cov_0_490260,Low coverage
BP24_NODE_467_length_1348_cov_0_301548,Low coverage
BP24_NODE_492_length_1314_cov_0_549874,Low coverage
BP24_NODE_507_length_1294_cov_1_222506,Low coverage
BP24_NODE_514_length_1287_cov_0_091767,Low coverage
BP24_NODE_549_length_1255_cov_0_124339,Low coverage
BP24_NODE_563_length_1245_cov_0_170819,Low coverage
BP24_NODE_611_length_1219_cov_0_416211,High coverage
BP24_NODE_629_length_1202_cov_0_189639,Low coverage
BP24_NODE_646_length_1194_cov_0_190121,Low coverage
BP24_NODE_651_length_1189_cov_0_309925,Low coverage
BP24_NODE_669_length_1179_cov_0_275992,Low coverage
BP24_NODE_725_length_1146_cov_0_207805,Low coverage
BP24_NODE_784_length_1111_cov_0_383838,Low coverage
BP24_NODE_795_length_1107_cov_0_187627,Low coverage
BP24_NODE_796_length_1106_cov_0_958376,Low coverage
BP24_NODE_865_length_1067_cov_0_145877,Low coverage
BP24_NODE_869_length_1064_cov_0_357370,Low coverage
BP24_NODE_903_length_1037_cov_0_683406,Low coverage
BP24_NODE_919_length_1029_cov_0_244493,Low coverage
BP24_NODE_926_length_1026_cov_0_286188,Low coverage
BP24_NODE_953_length_1013_cov_0_254484,Low coverage
BP24_NODE_1008_length_993_cov_0_418578,Low coverage
BP24_NODE_1136_length_940_cov_0_222222,Low coverage
BP24_NODE_1172_length_930_cov_0_384425,High coverage
BP24_NODE_1190_length_924_cov_0_098381,Low coverage
BP24_NODE_1248_length_907_cov_0_386768,Low coverage
BP24_NODE_1356_length_879_cov_0_407652,Low coverage
BP24_NODE_1363_length_878_cov_0_270806,Low coverage
BP24_NODE_1371_length_876_cov_0_283444,Low coverage
BP24_NODE_1411_length_867_cov_0_191689,Low coverage
BP24_NODE_1414_length_866_cov_0_193289,Low coverage
BP24_NODE_1416_length_865_cov_0_612903,Low coverage
BP24_NODE_1464_length_856_cov_0_269388,Low coverage
BP24_NODE_1504_length_847_cov_0_384298,Low coverage
BP24_NODE_1516_length_844_cov_0_345781,Low coverage
BP24_NODE_1539_length_840_cov_0_482615,Low coverage
BP24_NODE_1553_length_837_cov_0_248603,Low coverage
BP24_NODE_1586_length_831_cov_0_256338,Low coverage
BP24_NODE_1602_length_828_cov_0_690240,Low coverage
BP24_NODE_1638_length_821_cov_0_174286,Low coverage
BP24_NODE_1683_length_812_cov_0_259045,Low coverage
BP24_NODE_1756_length_798_cov_0_119645,Low coverage
BP24_NODE_1770_length_795_cov_0_344214,Low coverage
BP24_NODE_1779_length_794_cov_0_279346,Low coverage
BP24_NODE_1793_length_792_cov_0_350224,Low coverage
BP24_NODE_1804_length_791_cov_0_291045,Low coverage
BP24_NODE_1816_length_789_cov_0_269461,Low coverage
BP24_NODE_1837_length_786_cov_0_430075,Low coverage
BP24_NODE_1843_length_786_cov_0_045113,Low coverage
BP24_NODE_1852_length_784_cov_0_389140,Low coverage
BP24_NODE_1932_length_771_cov_0_118462,Low coverage
BP24_NODE_1949_length_769_cov_0_155864,Low coverage
BP24_NODE_2012_length_759_cov_0_280564,Low coverage
BP24_NODE_2045_length_753_cov_0_462025,Low coverage
BP24_NODE_2081_length_749_cov_0_138535,Low coverage
BP24_NODE_2234_length_726_cov_0_299174,Low coverage
BP24_NODE_2252_length_724_cov_0_250415,Low coverage
BP24_NODE_2259_length_723_cov_0_521595,Low coverage
BP24_NODE_2281_length_720_cov_0_292154,Low coverage
BP24_NODE_2297_length_718_cov_0_579564,Low coverage
BP24_NODE_2302_length_718_cov_0_268007,Low coverage
BP24_NODE_2315_length_717_cov_0_161074,Low coverage
BP24_NODE_2320_length_716_cov_0_226891,Low coverage
BP24_NODE_2326_length_715_cov_0_319865,Low coverage
BP24_NODE_2347_length_713_cov_0_197635,Low coverage
BP24_NODE_2357_length_712_cov_0_089679,Low coverage
BP24_NODE_2374_length_710_cov_0_242784,Low coverage
BP24_NODE_2395_length_707_cov_0_098976,Low coverage
BP24_NODE_2457_length_700_cov_0_212435,Low coverage
BP24_NODE_2460_length_700_cov_0_145078,Low coverage
BP24_NODE_2464_length_699_cov_0_314879,Low coverage
BP24_NODE_2495_length_696_cov_0_238261,Low coverage
BP24_NODE_2502_length_695_cov_0_184669,Low coverage
BP24_NODE_2513_length_694_cov_0_167539,Low coverage
BP24_NODE_2518_length_693_cov_0_286713,Low coverage
BP24_NODE_2599_length_684_cov_0_255773,Low coverage
BP24_NODE_2618_length_683_cov_0_110320,Low coverage
BP24_NODE_2665_length_677_cov_0_282374,Low coverage
BP24_NODE_2677_length_675_cov_0_267148,Low coverage
BP24_NODE_2717_length_670_cov_0_189435,Low coverage
BP24_NODE_2721_length_670_cov_0_111111,Low coverage
BP24_NODE_2769_length_665_cov_0_068015,Low coverage
BP24_NODE_2791_length_662_cov_0_306839,Low coverage
BP24_NODE_2793_length_662_cov_0_212569,Low coverage
BP24_NODE_2813_length_660_cov_0_270872,Low coverage
BP24_NODE_2821_length_659_cov_0_258364,Low coverage
BP24_NODE_2828_length_658_cov_0_221601,Low coverage
BP24_NODE_2861_length_655_cov_0_425094,Low coverage
BP24_NODE_2864_length_655_cov_0_217228,Low coverage
BP24_NODE_2870_length_655_cov_0_080524,Low coverage
BP24_NODE_2874_length_654_cov_0_373358,Low coverage
BP24_NODE_2928_length_650_cov_0_249527,Low coverage
BP24_NODE_2957_length_647_cov_0_309886,Low coverage
BP24_NODE_3032_length_640_cov_0_175337,Low coverage
BP24_NODE_3074_length_636_cov_0_475728,Low coverage
BP24_NODE_3089_length_635_cov_0_252918,Low coverage
BP24_NODE_3104_length_634_cov_0_107212,Low coverage
BP24_NODE_3167_length_628_cov_0_104536,Low coverage
BP24_NODE_3182_length_627_cov_0_132411,Low coverage
BP24_NODE_3186_length_626_cov_0_453465,Low coverage
BP24_NODE_3188_length_626_cov_0_190099,Low coverage
BP24_NODE_3236_length_622_cov_0_295409,Low coverage
BP24_NODE_3275_length_619_cov_0_170683,Low coverage
BP24_NODE_3369_length_610_cov_0_218814,Low coverage
BP24_NODE_3389_length_608_cov_0_365503,Low coverage
